Dates,GLD,VIX,VVIX
2012-03-14 14:30:00,159.58,15.18,103.34
2012-03-14 18:30:00,159.61,15.72,106.63
2012-03-15 14:30:00,161.19,15.35,108.87
2012-03-15 18:30:00,161.12,15.06,108.42
2012-03-16 14:30:00,160.88,14.88,105.24
2012-03-16 18:30:00,161.33,14.7,105.78
2012-03-19 14:30:00,162.02,14.94,108.76
2012-03-19 18:30:00,161.58,14.84,106.49
2012-03-20 14:30:00,160.05,15.27,109.33
2012-03-20 18:30:00,160.13,15.44,109.38
2012-03-21 14:30:00,160.37,15.22,106.56
2012-03-21 18:30:00,160.23,14.96,104.65
2012-03-22 14:30:00,159.51,16.43,103.87
2012-03-22 18:30:00,159.55,16.34,102.53
2012-03-23 14:30:00,161.54,15.67,98.42
2012-03-23 18:30:00,161.53,14.88,98.6
2012-03-26 14:30:00,163.82,14.89,99.73
2012-03-26 18:30:00,164.41,14.57,96.08
2012-03-27 14:30:00,163.7,15.06,99.44
2012-03-27 18:30:00,163.22,15.03,101.15
2012-03-28 14:30:00,161.04,16.24,105.57
2012-03-28 18:30:00,161.52,16.41,102.74
2012-03-29 14:30:00,160.61,16.87,105.68
2012-03-29 18:30:00,161.32,16.17,101.94
2012-03-30 14:30:00,162.23,15.7,100.05
2012-03-30 18:30:00,162.11,15.56,100.28
2012-04-02 14:30:00,163.02,15.42,100.06
2012-04-02 18:30:00,162.94,15.36,100.38
2012-04-03 14:30:00,162.26,15.6,99.49
2012-04-03 18:30:00,159.91,16.08,98.37
2012-04-04 14:30:00,156.62,17.48,101.29
2012-04-04 18:30:00,157.2,16.64,99.73
2012-04-05 14:30:00,158.2,16.35,98.28
2012-04-05 18:30:00,158.34,16.89,99.47
2012-04-09 14:30:00,159.53,18.54,104.18
2012-04-09 18:30:00,159.4,17.97,104.59
2012-04-10 14:30:00,161.2,19.29,111.09
2012-04-10 18:30:00,161.07,21.02,109.13
2012-04-11 14:30:00,161.14,19.13,109.67
2012-04-11 18:30:00,161.05,19.85,111.19
2012-04-12 14:30:00,163.14,18.42,107.02
2012-04-12 18:30:00,162.7,18.17,104.27
2012-04-13 14:30:00,161.12,18.8,109.72
2012-04-13 18:30:00,160.85,18.94,110.76
2012-04-16 14:30:00,160.14,19.66,112.31
2012-04-16 18:30:00,160.43,19.59,110.97
2012-04-17 14:30:00,160.26,17.75,106.5
2012-04-17 18:30:00,160.27,18.28,107.01
2012-04-18 14:30:00,159.17,18.76,106.5
2012-04-18 18:30:00,159.3,18.31,106.06
2012-04-19 14:30:00,159.33,17.8,105.54
2012-04-19 18:30:00,159.43,19.0,103.96
2012-04-20 14:30:00,159.5,17.31,101.46
2012-04-20 18:30:00,159.5,17.66,101.08
2012-04-23 14:30:00,158.48,19.82,105.24
2012-04-23 18:30:00,159.09,19.07,104.01
2012-04-24 14:30:00,159.55,18.5,100.8
2012-04-24 18:30:00,159.31,18.56,99.84
2012-04-25 14:30:00,159.4,17.35,95.75
2012-04-25 18:30:00,159.63,16.9,93.28
2012-04-26 14:30:00,161.19,16.94,90.28
2012-04-26 18:30:00,161.01,16.16,89.65
2012-04-27 14:30:00,161.6,16.28,88.25
2012-04-27 18:30:00,161.38,16.1,88.62
2012-04-30 14:30:00,161.58,17.33,90.2
2012-04-30 18:30:00,161.81,17.32,89.32
2012-05-01 14:30:00,161.365,16.44,86.46
2012-05-01 18:30:00,161.31,16.3,87.06
2012-05-02 14:30:00,160.57,17.31,87.64
2012-05-02 18:30:00,160.6,16.97,86.29
2012-05-03 14:30:00,158.66,16.85,86.65
2012-05-03 18:30:00,158.99,17.82,88.35
2012-05-04 14:30:00,159.72,18.66,91.31
2012-05-04 18:30:00,159.46,18.97,91.31
2012-05-07 14:30:00,159.12,19.34,90.46
2012-05-07 18:30:00,159.09,18.64,90.91
2012-05-08 14:30:00,155.8,20.76,94.81
2012-05-08 18:30:00,156.0,19.49,91.33
2012-05-09 14:30:00,154.77,20.48,100.3
2012-05-09 18:30:00,154.48,20.25,102.07
2012-05-10 14:30:00,154.92,19.8,99.83
2012-05-10 18:30:00,154.77,18.94,98.65
2012-05-11 14:30:00,153.8,18.87,98.35
2012-05-11 18:30:00,153.56,19.45,100.12
2012-05-14 14:30:00,151.6,21.41,105.08
2012-05-14 18:30:00,151.33,21.65,105.85
2012-05-15 14:30:00,151.22,21.5,106.09
2012-05-15 18:30:00,149.72,22.2,109.61
2012-05-16 14:30:00,149.2,21.73,108.46
2012-05-16 18:30:00,149.42,22.2,109.22
2012-05-17 14:30:00,152.94,22.38,110.49
2012-05-17 18:30:00,152.88,23.46,112.84
2012-05-18 14:30:00,154.58,23.37,113.23
2012-05-18 18:30:00,154.56,24.69,117.44
2012-05-21 14:30:00,154.25,22.52,109.89
2012-05-21 18:30:00,154.65,22.18,108.5
2012-05-22 14:30:00,153.1,20.38,106.21
2012-05-22 18:30:00,152.1,21.44,110.48
2012-05-23 14:30:00,150.34,24.04,112.14
2012-05-23 18:30:00,151.58,22.98,107.48
2012-05-24 14:30:00,151.19,22.37,107.85
2012-05-24 18:30:00,151.42,22.94,104.52
2012-05-25 14:30:00,152.36,21.61,102.04
2012-05-25 18:30:00,152.7,21.87,103.1
2012-05-29 14:30:00,150.46,21.54,103.52
2012-05-29 18:30:00,151.03,21.72,100.98
2012-05-30 14:30:00,151.89,23.38,107.09
2012-05-30 18:30:00,151.9,23.33,109.73
2012-05-31 14:30:00,151.74,25.3,107.98
2012-05-31 18:30:00,151.63,23.68,108.75
2012-06-01 14:30:00,157.31,25.73,109.79
2012-06-01 18:30:00,157.46,26.41,111.41
2012-06-04 14:30:00,156.58,27.0,107.9
2012-06-04 18:30:00,157.33,26.11,107.04
2012-06-05 14:30:00,156.83,25.18,104.4
2012-06-05 18:30:00,157.14,24.75,102.78
2012-06-06 14:30:00,158.55,23.38,99.66
2012-06-06 18:30:00,157.2,22.95,97.71
2012-06-07 14:30:00,153.99,22.35,97.4
2012-06-07 18:30:00,154.49,21.23,98.36
2012-06-08 14:30:00,154.41,22.06,97.27
2012-06-08 18:30:00,154.79,21.66,96.6
2012-06-11 14:30:00,154.89,21.4,100.15
2012-06-11 18:30:00,155.33,22.53,105.51
2012-06-12 14:30:00,156.54,23.38,105.54
2012-06-12 18:30:00,156.45,22.76,103.22
2012-06-13 14:30:00,157.09,23.41,108.21
2012-06-13 18:30:00,157.15,24.08,110.6
2012-06-14 14:30:00,157.15,23.91,109.2
2012-06-14 18:30:00,157.74,22.42,107.78
2012-06-15 14:30:00,157.97,22.34,108.41
2012-06-15 18:30:00,157.82,22.16,108.23
2012-06-18 14:30:00,157.81,19.91,99.82
2012-06-18 18:30:00,157.88,18.71,99.3
2012-06-19 14:30:00,157.46,17.8,97.08
2012-06-19 18:30:00,157.19,18.08,98.13
2012-06-20 14:30:00,156.78,18.73,97.58
2012-06-20 18:30:00,155.95,18.21,96.41
2012-06-21 14:30:00,151.87,18.1,102.52
2012-06-21 18:30:00,152.01,19.63,105.47
2012-06-22 14:30:00,151.98,18.65,101.26
2012-06-22 18:30:00,152.65,18.15,104.13
2012-06-25 14:30:00,154.07,20.83,106.09
2012-06-25 18:30:00,153.76,20.19,104.46
2012-06-26 14:30:00,152.76,20.4,101.61
2012-06-26 18:30:00,152.66,19.57,100.66
2012-06-27 14:30:00,153.15,19.68,98.45
2012-06-27 18:30:00,152.82,19.85,98.32
2012-06-28 14:30:00,150.41,21.01,100.34
2012-06-28 18:30:00,151.09,20.54,97.21
2012-06-29 14:30:00,155.57,17.99,91.89
2012-06-29 18:30:00,155.13,17.74,89.85
2012-07-02 14:30:00,154.97,17.62,86.79
2012-07-02 18:30:00,155.13,17.25,85.61
2012-07-03 14:30:00,157.1,16.4,84.57
2012-07-05 14:30:00,156.19,17.47,88.46
2012-07-05 18:30:00,155.65,17.32,89.43
2012-07-06 14:30:00,153.18,17.77,91.71
2012-07-06 18:30:00,153.71,17.76,90.1
2012-07-09 14:30:00,154.15,17.8,91.79
2012-07-09 18:30:00,154.04,18.14,92.87
2012-07-10 14:30:00,153.26,18.29,93.38
2012-07-10 18:30:00,152.14,18.75,94.91
2012-07-11 14:30:00,152.94,18.34,97.37
2012-07-11 18:30:00,152.94,18.57,96.25
2012-07-12 14:30:00,151.87,19.06,94.12
2012-07-12 18:30:00,152.55,18.1,95.31
2012-07-13 14:30:00,154.52,16.91,93.41
2012-07-13 18:30:00,154.13,16.88,91.1
2012-07-16 14:30:00,154.49,16.85,94.86
2012-07-16 18:30:00,154.22,17.09,94.21
2012-07-17 14:30:00,154.22,16.89,94.42
2012-07-17 18:30:00,153.48,16.46,93.53
2012-07-18 14:30:00,152.42,16.28,93.95
2012-07-18 18:30:00,153.04,15.95,94.03
2012-07-19 14:30:00,153.3,16.06,95.12
2012-07-19 18:30:00,153.4,15.94,93.73
2012-07-20 14:30:00,153.62,16.39,102.83
2012-07-20 18:30:00,153.68,16.59,100.54
2012-07-23 14:30:00,153.1,19.14,108.1
2012-07-23 18:30:00,153.04,18.69,107.32
2012-07-24 14:30:00,152.95,19.39,110.22
2012-07-24 18:30:00,153.5,20.71,111.69
2012-07-25 14:30:00,156.08,20.54,108.0
2012-07-25 18:30:00,155.68,19.17,106.55
2012-07-26 14:30:00,156.785,18.29,100.45
2012-07-26 18:30:00,156.77,17.82,98.73
2012-07-27 14:30:00,157.1,16.84,92.66
2012-07-27 18:30:00,157.57,16.71,93.08
