Dates,QQQ,VIX,VVIX
2019-01-02 14:30:00,152.95,26.34,87.02
2019-01-02 15:30:00,154.24,25.65,85.77
2019-01-02 16:30:00,153.97,25.35,85.66
2019-01-02 17:30:00,155.34,24.16,84.36
2019-01-02 18:30:00,155.25,24.28,83.92
2019-01-02 19:30:00,154.33,24.24,83.67
2019-01-02 20:30:00,154.89,23.16,81.66
2019-01-03 14:30:00,151.32,25.25,84.97
2019-01-03 15:30:00,151.36,25.84,84.58
2019-01-03 16:30:00,151.5,24.96,83.52
2019-01-03 17:30:00,150.99,24.89,83.52
2019-01-03 18:30:00,151.235,24.64,82.63
2019-01-03 19:30:00,150.12,25.28,83.67
2019-01-03 20:30:00,149.71,25.26,83.8
2019-01-04 14:30:00,154.75,22.86,81.02
2019-01-04 15:30:00,155.41,22.45,80.89
2019-01-04 16:30:00,156.02,22.32,81.05
2019-01-04 17:30:00,156.72,22.32,81.86
2019-01-04 18:30:00,156.66,22.58,82.11
2019-01-04 19:30:00,155.81,22.01,82.79
2019-01-04 20:30:00,156.39,21.39,84.44
2019-01-07 14:30:00,156.85,21.83,84.37
2019-01-07 15:30:00,157.21,21.42,83.64
2019-01-07 16:30:00,158.48,21.2,83.24
2019-01-07 17:30:00,158.62,21.07,82.93
2019-01-07 18:30:00,157.96,21.39,83.05
2019-01-07 19:30:00,158.35,21.22,82.68
2019-01-07 20:30:00,157.99,21.27,82.74
2019-01-08 14:30:00,158.47,20.92,84.09
2019-01-08 15:30:00,158.1,21.36,84.66
2019-01-08 16:30:00,158.94,21.01,83.7
2019-01-08 17:30:00,158.96,20.51,83.23
2019-01-08 18:30:00,159.27,20.51,83.13
2019-01-08 19:30:00,159.6,20.5,82.47
2019-01-08 20:30:00,159.56,20.42,82.41
2019-01-09 14:30:00,160.6,20.05,84.93
2019-01-09 15:30:00,160.64,20.2,85.54
2019-01-09 16:30:00,160.97,20.11,86.02
2019-01-09 17:30:00,161.13,19.97,85.77
2019-01-09 18:30:00,160.53,19.79,86.22
2019-01-09 19:30:00,161.11,19.57,86.1
2019-01-09 20:30:00,160.79,19.86,86.62
2019-01-10 14:30:00,160.07,20.91,88.37
2019-01-10 15:30:00,160.15,20.12,88.41
2019-01-10 16:30:00,160.59,20.29,87.34
2019-01-10 17:30:00,160.28,20.34,87.7
2019-01-10 18:30:00,160.77,19.87,87.56
2019-01-10 19:30:00,161.06,19.81,87.38
2019-01-10 20:30:00,161.23,19.48,86.35
2019-01-11 14:30:00,159.89,19.5,87.6
2019-01-11 15:30:00,160.11,19.42,86.31
2019-01-11 16:30:00,160.6,19.11,85.43
2019-01-11 17:30:00,160.23,18.71,85.95
2019-01-11 18:30:00,160.52,18.55,85.13
2019-01-11 19:30:00,160.45,18.52,84.4
2019-01-11 20:30:00,160.76,18.16,83.85
2019-01-14 14:30:00,159.33,19.33,84.49
2019-01-14 15:30:00,159.56,19.37,82.86
2019-01-14 16:30:00,159.74,19.34,81.98
2019-01-14 17:30:00,159.74,19.21,81.89
2019-01-14 18:30:00,159.45,18.9,82.32
2019-01-14 19:30:00,159.69,18.77,82.9
2019-01-14 20:30:00,159.3,19.05,83.01
2019-01-15 14:30:00,161.46,18.53,82.26
2019-01-15 15:30:00,161.56,18.36,81.54
2019-01-15 16:30:00,162.37,18.32,80.84
2019-01-15 17:30:00,162.35,18.1,80.43
2019-01-15 18:30:00,161.5,18.46,80.87
2019-01-15 19:30:00,162.13,18.33,80.68
2019-01-15 20:30:00,162.41,18.38,81.39
2019-01-16 14:30:00,163.11,18.55,81.27
2019-01-16 15:30:00,163.03,18.82,81.29
2019-01-16 16:30:00,162.58,18.66,81.46
2019-01-16 17:30:00,162.57,18.65,81.31
2019-01-16 18:30:00,162.85,18.28,81.08
2019-01-16 19:30:00,162.85,18.43,81.24
2019-01-16 20:30:00,162.39,18.93,83.34
2019-01-17 14:30:00,162.56,18.98,82.62
2019-01-17 15:30:00,162.72,18.77,82.24
2019-01-17 16:30:00,162.71,18.64,82.37
2019-01-17 17:30:00,162.79,18.39,82.29
2019-01-17 18:30:00,162.63,18.25,82.0
2019-01-17 19:30:00,163.45,18.17,81.86
2019-01-17 20:30:00,163.62,18.2,82.79
2019-01-18 14:30:00,164.48,17.91,81.03
2019-01-18 15:30:00,165.69,17.39,78.5
2019-01-18 16:30:00,165.89,17.27,79.5
2019-01-18 17:30:00,165.48,17.73,80.66
2019-01-18 18:30:00,164.98,17.6,81.7
2019-01-18 19:30:00,164.93,18.18,82.51
2019-01-18 20:30:00,165.2,17.88,82.49
2019-01-22 14:30:00,163.33,19.02,86.64
2019-01-22 15:30:00,163.28,19.04,88.41
2019-01-22 16:30:00,162.51,19.38,91.22
2019-01-22 17:30:00,161.87,20.4,92.79
2019-01-22 18:30:00,161.44,20.09,94.27
2019-01-22 19:30:00,161.45,21.12,94.78
2019-01-22 20:30:00,162.06,20.59,93.81
2019-01-23 14:30:00,162.58,19.96,91.75
2019-01-23 15:30:00,161.58,20.7,93.48
2019-01-23 16:30:00,160.83,21.92,93.75
2019-01-23 17:30:00,161.35,20.99,93.07
2019-01-23 18:30:00,161.69,20.22,90.75
2019-01-23 19:30:00,162.06,20.21,89.59
2019-01-23 20:30:00,162.15,19.53,88.45
2019-01-24 14:30:00,163.31,19.64,85.61
2019-01-24 15:30:00,162.5,19.11,85.7
2019-01-24 16:30:00,162.88,19.22,86.08
2019-01-24 17:30:00,162.35,19.98,87.71
2019-01-24 18:30:00,162.75,19.55,85.64
2019-01-24 19:30:00,163.02,18.89,84.45
2019-01-24 20:30:00,163.19,18.9,84.89
2019-01-25 14:30:00,164.88,17.88,83.56
2019-01-25 15:30:00,164.96,17.75,83.99
2019-01-25 16:30:00,165.47,17.64,83.5
2019-01-25 17:30:00,165.38,17.83,83.18
2019-01-25 18:30:00,165.0,17.79,83.16
2019-01-25 19:30:00,165.11,17.53,83.12
2019-01-25 20:30:00,165.25,17.45,83.38
2019-01-28 14:30:00,162.81,19.91,88.44
2019-01-28 15:30:00,162.59,20.0,87.58
2019-01-28 16:30:00,162.4,20.15,89.84
2019-01-28 17:30:00,162.49,19.76,88.37
2019-01-28 18:30:00,162.57,19.47,87.24
2019-01-28 19:30:00,162.92,19.33,86.27
2019-01-28 20:30:00,163.1,18.92,86.44
2019-01-29 14:30:00,162.63,19.04,85.93
2019-01-29 15:30:00,161.41,19.59,86.66
2019-01-29 16:30:00,161.89,19.11,86.05
2019-01-29 17:30:00,161.81,19.06,86.56
2019-01-29 18:30:00,161.62,18.86,87.31
2019-01-29 19:30:00,161.55,19.32,87.06
2019-01-29 20:30:00,161.51,19.31,86.84
2019-01-30 14:30:00,163.38,19.19,85.67
2019-01-30 15:30:00,163.44,18.81,85.28
2019-01-30 16:30:00,164.3,18.65,84.7
2019-01-30 17:30:00,164.19,18.7,84.58
2019-01-30 18:30:00,165.47,18.13,83.1
2019-01-30 19:30:00,165.7,17.81,82.14
2019-01-30 20:30:00,165.81,17.72,82.39
2019-01-31 14:30:00,167.87,17.2,80.37
2019-01-31 15:30:00,168.08,17.05,79.84
2019-01-31 16:30:00,168.5,16.95,80.53
2019-01-31 17:30:00,168.12,17.14,80.69
2019-01-31 18:30:00,168.12,16.82,79.86
2019-01-31 19:30:00,167.81,16.79,80.09
2019-01-31 20:30:00,168.16,16.61,79.24
2019-02-01 14:30:00,168.4,16.33,78.93
2019-02-01 15:30:00,168.04,16.54,79.12
2019-02-01 16:30:00,167.91,16.27,79.75
2019-02-01 17:30:00,167.62,16.3,80.05
2019-02-01 18:30:00,167.23,16.44,80.93
2019-02-01 19:30:00,167.28,16.6,80.57
2019-02-01 20:30:00,167.42,16.1,80.0
2019-02-04 14:30:00,168.27,16.47,79.89
2019-02-04 15:30:00,168.97,15.85,78.45
2019-02-04 16:30:00,168.95,15.83,77.94
2019-02-04 17:30:00,168.94,15.91,77.69
2019-02-04 18:30:00,169.28,15.72,77.45
2019-02-04 19:30:00,169.2,15.61,77.17
2019-02-04 20:30:00,169.5,15.74,77.36
2019-02-05 14:30:00,170.74,15.73,76.45
2019-02-05 15:30:00,170.56,15.16,78.08
2019-02-05 16:30:00,170.51,15.63,78.74
2019-02-05 17:30:00,170.29,15.93,79.23
2019-02-05 18:30:00,170.81,15.4,79.81
2019-02-05 19:30:00,171.17,15.53,79.89
2019-02-05 20:30:00,171.02,15.57,80.62
2019-02-06 14:30:00,170.12,15.51,86.08
2019-02-06 15:30:00,170.62,15.11,84.11
2019-02-06 16:30:00,170.46,15.3,85.06
2019-02-06 17:30:00,170.61,15.29,84.87
2019-02-06 18:30:00,170.35,15.41,84.86
2019-02-06 19:30:00,170.47,15.47,85.09
2019-02-06 20:30:00,170.49,15.35,84.99
2019-02-07 14:30:00,169.22,16.43,84.91
2019-02-07 15:30:00,167.94,16.71,86.17
2019-02-07 16:30:00,167.49,17.54,86.08
2019-02-07 17:30:00,167.75,16.94,85.34
2019-02-07 18:30:00,167.89,16.94,85.76
2019-02-07 19:30:00,167.72,17.0,85.5
2019-02-07 20:30:00,168.24,16.31,85.01
2019-02-08 14:30:00,166.96,17.24,87.28
2019-02-08 15:30:00,167.1,17.44,87.31
2019-02-08 16:30:00,167.15,17.09,86.58
2019-02-08 17:30:00,167.53,16.73,85.92
2019-02-08 18:30:00,168.16,16.33,83.67
