Date,YMAG,YMAG Dividends,VIX,VVIX,QQQ
2024-01-31 14:30:00,19.59,0.0,13.79,85.37,420.16
2024-01-31 16:30:00,19.59,0.0,14.37,89.03,419.44
2024-01-31 20:00:00,19.55,0.0,14.24,86.74,418.41
2024-01-31 20:30:00,19.5,0.0,14.57,87.68,416.86
2024-02-01 14:30:00,19.65,0.0,14.25,85.96,418.8
2024-02-01 18:00:00,19.64,0.0,13.99,86.01,420.44
2024-02-01 20:30:00,19.71,0.0,14.15,85.96,422.07
2024-02-02 14:30:00,20.01,0.0,13.95,85.18,425.84
2024-02-05 14:30:00,20.26,0.0,13.91,83.02,428.66
2024-02-05 15:00:00,20.18,0.0,14.33,85.47,426.74
2024-02-05 18:30:00,20.14,0.0,13.85,80.74,428.45
2024-02-05 19:30:00,20.22,0.0,13.67,79.64,429.38
2024-02-06 14:30:00,20.28,0.0,13.46,78.45,427.5
2024-02-07 14:30:00,20.32,0.0,12.99,82.25,429.76
2024-02-07 15:30:00,20.37,0.0,13.03,81.93,431.83
2024-02-07 16:00:00,20.36,0.0,12.93,81.67,431.68
2024-02-07 17:30:00,20.38,0.0,13.07,81.92,431.49
2024-02-07 18:30:00,20.43,0.0,13.0,80.58,432.28
2024-02-08 15:30:00,20.455,0.0,12.94,84.74,433.4
2024-02-09 17:30:00,20.61,0.0,12.75,83.07,436.72
2024-02-09 18:00:00,20.615,0.0,12.75,81.97,437.0
2024-02-09 20:00:00,20.57,0.0,12.93,82.67,437.16
2024-02-12 14:30:00,20.71,0.0,13.54,83.93,437.18
2024-02-12 15:00:00,20.64,0.0,13.56,84.19,437.0
2024-02-12 15:30:00,20.62,0.0,13.5,83.99,438.11
2024-02-12 19:30:00,20.51,0.0,13.91,85.03,435.03
2024-02-13 15:00:00,20.23,0.0,14.8,88.14,430.06
2024-02-13 15:30:00,20.34,0.0,14.89,87.94,429.69
2024-02-13 16:00:00,20.35,0.0,14.66,85.79,430.34
2024-02-13 17:00:00,20.3,0.0,14.83,86.27,428.83
2024-02-13 19:30:00,20.15,0.0,16.49,95.74,426.11
2024-02-14 16:00:00,20.28,0.0,14.75,82.2,430.38
2024-02-15 14:30:00,19.98,0.43,14.33,83.07,432.17
2024-02-15 16:00:00,19.94,0.0,14.54,84.42,432.55
2024-02-15 18:30:00,20.02,0.0,14.39,84.59,434.46
2024-02-16 14:30:00,19.97,0.0,14.54,84.48,431.24
2024-02-20 14:30:00,19.8,0.0,15.55,88.93,426.17
2024-02-20 15:00:00,19.7,0.0,15.64,88.84,424.85
2024-02-20 16:00:00,19.77,0.0,15.34,88.07,426.4
2024-02-20 16:30:00,19.75,0.0,15.58,88.37,424.76
2024-02-20 20:30:00,19.75,0.0,15.31,86.18,427.32
2024-02-21 16:30:00,19.8,0.0,15.47,84.9,424.83
2024-02-21 19:30:00,19.7,0.0,15.62,85.68,422.44
2024-02-27 16:00:00,20.575,0.0,13.44,78.13,436.63
2024-02-27 16:30:00,20.58,0.0,13.52,78.53,437.23
2024-02-27 17:30:00,20.54,0.0,13.62,78.91,435.48
2024-02-28 15:00:00,20.5,0.0,13.57,80.67,434.93
2024-02-28 17:30:00,20.56,0.0,13.6,79.98,435.29
2024-02-28 19:30:00,20.54,0.0,13.72,80.95,435.19
2024-03-01 14:30:00,20.75,0.0,13.28,76.72,440.79
2024-03-01 15:00:00,20.83,0.0,13.25,76.58,441.91
2024-03-01 15:30:00,20.82,0.0,13.26,76.72,442.21
2024-03-01 16:30:00,20.91,0.0,13.28,77.93,443.35
2024-03-01 17:00:00,20.91,0.0,13.36,78.03,443.98
2024-03-01 18:00:00,20.95,0.0,13.31,77.81,445.26
2024-03-01 18:30:00,20.95,0.0,13.32,77.92,445.92
2024-03-04 16:00:00,20.75,0.0,13.49,79.93,445.02
2024-03-04 17:00:00,20.76,0.0,13.41,79.68,445.52
2024-03-05 14:30:00,20.5,0.0,14.11,81.77,438.73
2024-03-05 16:30:00,20.32,0.0,14.28,83.36,436.23
2024-03-05 20:30:00,20.33,0.0,14.53,84.04,436.04
2024-03-06 14:30:00,20.4,0.0,14.26,82.67,438.98
2024-03-06 15:00:00,20.32,0.0,14.38,83.44,438.2
2024-03-07 14:30:00,20.44,0.0,14.36,82.46,442.65
2024-03-08 14:30:00,20.83,0.0,14.05,80.48,447.46
2024-03-08 16:00:00,20.68,0.0,14.52,83.74,442.87
2024-03-08 17:00:00,20.51,0.0,14.8,86.78,442.62
2024-03-08 18:30:00,20.39,0.0,15.48,91.12,439.15
2024-03-08 20:30:00,20.44,0.0,14.78,86.72,438.99
2024-03-11 13:30:00,20.39,0.0,15.87,91.23,435.67
2024-03-11 14:00:00,20.32,0.0,15.97,91.93,436.36
2024-03-11 15:00:00,20.405,0.0,15.9,91.42,436.4
2024-03-11 16:00:00,20.41,0.0,15.58,90.61,437.44
2024-03-11 17:30:00,20.35,0.0,15.23,88.41,437.48
2024-03-11 19:00:00,20.315,0.0,15.26,88.66,437.07
2024-03-11 19:30:00,20.31,0.0,15.19,88.99,437.35
2024-03-12 19:30:00,20.77,0.0,13.86,83.92,443.68
2024-03-13 13:30:00,20.6,0.0,13.91,86.4,440.52
2024-03-13 14:00:00,20.6,0.0,13.83,86.95,440.64
2024-03-13 14:30:00,20.59,0.0,13.95,87.15,440.37
2024-03-13 15:30:00,20.58,0.0,13.87,86.53,440.39
2024-03-13 19:00:00,20.64,0.0,13.87,86.99,439.83
2024-03-14 13:30:00,20.0,0.0,14.1,87.96,438.3
2024-03-14 14:30:00,19.95,0.59,14.33,89.81,439.71
2024-03-14 15:00:00,19.95,0.0,14.45,90.03,439.2
2024-03-14 16:30:00,19.9,0.0,14.6,90.81,438.58
2024-03-14 17:00:00,19.9,0.0,14.78,91.84,438.14
2024-03-14 17:30:00,19.92,0.0,14.31,89.46,439.55
2024-03-14 18:00:00,19.93,0.0,14.3,88.59,439.71
2024-03-15 14:00:00,19.86,0.0,14.68,91.13,435.12
2024-03-18 13:30:00,20.1,0.0,14.56,91.16,438.84
2024-03-18 18:00:00,20.1,0.0,14.28,87.98,439.395
2024-03-18 18:30:00,20.1,0.0,14.34,87.55,438.65
2024-03-19 14:00:00,19.98,0.0,14.28,84.68,433.89
2024-03-19 15:00:00,20.01,0.0,14.03,84.57,435.19
2024-03-19 16:00:00,20.05,0.0,14.06,84.06,436.78
2024-03-20 18:00:00,20.24,0.0,13.54,81.89,441.08
2024-03-21 13:30:00,20.51,0.0,12.79,79.32,447.92
2024-03-21 15:30:00,20.46,0.0,12.87,78.95,448.75
2024-03-21 17:00:00,20.48,0.0,12.94,78.63,448.32
2024-03-21 17:30:00,20.46,0.0,13.05,78.83,447.22
2024-03-22 13:30:00,20.41,0.0,12.91,77.02,445.18
2024-03-22 14:00:00,20.41,0.0,12.89,77.0,445.28
2024-03-25 13:30:00,20.5,0.0,13.29,77.53,444.09
2024-03-25 14:00:00,20.53,0.0,13.16,77.02,444.87
2024-03-25 18:30:00,20.62,0.0,13.12,76.99,446.16
2024-03-25 19:00:00,20.6,0.0,13.19,76.64,445.31
2024-03-26 14:00:00,20.69,0.0,12.99,75.73,445.96
2024-03-27 15:00:00,20.39,0.0,13.11,76.5,442.44
2024-03-27 17:00:00,20.43,0.0,12.92,76.16,443.06
2024-03-27 19:00:00,20.37,0.0,12.84,76.22,443.19
2024-04-01 15:00:00,20.41,0.0,13.98,79.87,444.35
2024-04-01 19:30:00,20.46,0.0,13.66,78.35,444.99
2024-04-02 17:30:00,20.35,0.0,14.76,83.42,439.81
2024-04-03 19:00:00,20.45,0.0,14.61,81.89,441.18
2024-04-04 13:30:00,20.52,0.0,13.99,79.37,445.78
2024-04-04 19:30:00,20.39,0.0,16.54,89.7,435.25
2024-04-05 17:00:00,20.52,0.0,16.06,89.72,442.22
2024-04-05 19:30:00,20.47,0.0,16.09,90.76,440.52
2024-04-08 13:30:00,20.58,0.0,15.94,89.38,440.75
2024-04-08 14:00:00,20.63,0.0,15.61,88.09,441.68
2024-04-08 15:00:00,20.66,0.0,15.49,86.74,441.55
2024-04-08 16:00:00,20.52,0.0,15.56,87.16,440.27
2024-04-08 17:00:00,20.6,0.0,15.43,86.41,441.0
2024-04-08 17:30:00,20.59,0.0,15.39,86.39,440.86
2024-04-09 13:30:00,20.66,0.0,15.42,85.81,441.78
2024-04-09 18:00:00,20.54,0.0,15.64,86.84,439.79
2024-04-09 18:30:00,20.53,0.0,15.65,87.25,439.63
2024-04-10 13:30:00,20.55,0.0,16.13,95.08,437.98
2024-04-10 18:00:00,20.58,0.0,16.22,93.97,437.06
2024-04-11 15:30:00,20.77,0.0,15.79,93.09,441.49
2024-04-11 16:30:00,20.81,0.0,15.74,91.76,441.24
2024-04-12 14:00:00,20.81,0.0,17.76,101.53,440.59
2024-04-12 15:00:00,20.8,0.0,17.8,107.35,440.34
2024-04-12 16:00:00,20.79,0.0,18.17,107.84,438.84
2024-04-12 16:30:00,20.77,0.0,18.5,111.01,437.805
2024-04-12 18:00:00,20.73,0.0,18.17,109.61,438.02
2024-04-16 13:30:00,20.3,0.0,18.92,105.26,431.6
2024-04-16 17:00:00,20.3,0.0,18.3,101.46,431.64
2024-04-16 19:00:00,20.33,0.0,17.98,98.77,432.73
2024-04-17 13:30:00,19.68,0.0,17.85,96.22,431.52
2024-04-17 15:30:00,19.54,0.62,18.41,101.6,428.05
2024-04-17 16:30:00,19.32,0.0,18.83,101.78,425.519
2024-04-18 13:30:00,19.3,0.0,17.93,97.62,424.97
2024-04-18 15:30:00,19.48,0.0,17.38,93.31,426.96
2024-04-18 16:30:00,19.46,0.0,17.9,95.58,424.94
2024-04-18 17:00:00,19.39,0.0,17.96,96.41,424.4
2024-04-19 13:30:00,19.18,0.0,18.34,97.62,421.31
2024-04-19 14:00:00,19.04,0.0,18.79,98.62,419.37
2024-04-19 14:30:00,19.07,0.0,18.49,97.71,419.68
2024-04-19 15:30:00,19.03,0.0,18.52,98.35,417.33
2024-04-19 16:30:00,18.95,0.0,18.58,99.41,417.15
2024-04-19 18:00:00,18.9,0.0,18.86,100.7,415.39
2024-04-19 19:30:00,18.81,0.0,18.83,99.17,414.64
2024-04-22 14:00:00,18.72,0.0,18.09,93.37,415.0
2024-04-22 14:30:00,18.76,0.0,18.1,94.48,414.78
2024-04-22 15:00:00,18.7,0.0,17.99,95.2,415.32
2024-04-22 16:00:00,18.82,0.0,17.48,92.96,416.59
2024-04-24 15:00:00,19.47,0.0,16.05,83.08,426.38
2024-04-26 15:00:00,19.62,0.0,15.49,82.3,430.98
2024-04-26 15:30:00,19.59,0.0,15.31,82.16,431.27
2024-04-26 16:30:00,19.62,0.0,15.05,80.85,432.09
2024-04-26 19:00:00,19.6,0.0,14.92,79.93,432.22
2024-04-29 19:00:00,19.72,0.0,14.89,79.47,431.33
2024-04-29 19:30:00,19.77,0.0,14.7,78.35,432.79
2024-04-30 14:00:00,19.78,0.0,14.84,78.0,430.88
2024-04-30 15:30:00,19.65,0.0,15.23,79.54,429.43
2024-04-30 19:30:00,19.56,0.0,15.87,81.32,424.52
2024-05-01 15:00:00,19.52,0.0,15.81,82.44,421.89
2024-05-01 18:00:00,19.63,0.0,15.4,79.95,424.6
2024-05-01 19:00:00,19.85,0.0,14.66,77.52,428.29
2024-05-02 13:30:00,19.67,0.0,15.33,81.05,423.33
2024-05-02 14:00:00,19.53,0.0,15.24,80.38,423.3
2024-05-02 18:00:00,19.77,0.0,14.81,78.7,426.41
2024-05-03 13:30:00,20.15,0.0,13.82,75.34,435.43
2024-05-03 14:00:00,20.06,0.0,14.0,75.56,434.05
2024-05-03 14:30:00,20.08,0.0,14.02,76.25,433.62
2024-05-03 18:30:00,20.14,0.0,13.7,75.55,435.64
2024-05-03 19:00:00,20.15,0.0,13.58,75.33,435.825
2024-05-03 19:30:00,20.15,0.0,13.55,74.99,435.48
2024-05-06 13:30:00,20.25,0.0,13.69,74.13,438.15
2024-05-06 14:00:00,20.25,0.0,13.81,74.25,437.78
2024-05-06 14:30:00,20.26,0.0,13.84,73.93,437.87
2024-05-06 15:30:00,20.27,0.0,13.82,74.08,438.21
2024-05-06 16:00:00,20.25,0.0,13.79,74.27,437.67
2024-05-06 16:30:00,20.27,0.0,13.77,74.37,438.34
2024-05-06 19:30:00,20.36,0.0,13.44,73.41,440.34
2024-05-07 13:30:00,20.3,0.0,13.62,74.02,440.245
2024-05-07 18:00:00,20.3,0.0,13.35,73.8,440.04
2024-05-07 18:30:00,20.27,0.0,13.36,74.55,440.26
2024-05-07 19:00:00,20.29,0.0,13.31,75.31,440.37
2024-05-07 19:30:00,20.27,0.0,13.2,74.52,440.29
2024-05-08 14:00:00,20.19,0.0,13.19,75.08,440.58
2024-05-08 14:30:00,20.24,0.0,13.2,74.9,440.9
2024-05-08 15:00:00,20.23,0.0,13.22,74.87,440.16
2024-05-08 19:30:00,20.24,0.0,12.99,74.32,440.1
2024-05-09 13:30:00,20.22,0.0,13.22,75.26,439.65
2024-05-09 14:00:00,20.21,0.0,13.15,74.46,439.51
2024-05-09 14:30:00,20.26,0.0,13.09,74.51,440.94
2024-05-09 19:30:00,20.22,0.0,12.73,73.78,441.03
2024-05-10 13:30:00,20.28,0.0,12.89,74.17,443.84
2024-05-10 14:00:00,20.22,0.0,12.94,73.73,441.49
2024-05-10 14:30:00,20.16,0.0,12.84,73.13,441.23
2024-05-10 15:30:00,20.15,0.0,12.78,73.57,441.64
2024-05-10 17:30:00,20.16,0.0,12.71,73.73,442.01
2024-05-10 19:30:00,20.19,0.0,12.58,73.33,442.04
2024-05-13 13:30:00,20.23,0.0,13.39,75.37,442.9
2024-05-13 14:00:00,20.23,0.0,13.41,75.06,443.34
2024-05-13 15:00:00,20.22,0.0,13.38,74.89,442.73
2024-05-13 15:30:00,20.24,0.0,13.37,74.72,443.07
2024-05-13 16:00:00,20.24,0.0,13.38,74.7,443.26
2024-05-13 17:00:00,20.23,0.0,13.53,76.22,443.04
2024-05-13 17:30:00,20.24,0.0,13.57,76.36,442.84
2024-05-13 19:30:00,20.3,0.0,13.63,77.62,443.1
2024-05-14 13:30:00,20.27,0.0,13.79,78.84,443.05
2024-05-14 14:00:00,20.27,0.0,13.61,78.74,444.82
2024-05-14 14:30:00,20.33,0.0,13.59,78.18,444.21
2024-05-14 15:30:00,20.35,0.0,13.57,77.91,443.77
2024-05-14 17:00:00,20.36,0.0,13.48,78.7,443.82
2024-05-14 19:00:00,20.44,0.0,13.37,78.23,446.14
2024-05-14 19:30:00,20.43,0.0,13.38,77.93,445.97
2024-05-15 13:30:00,19.8,0.0,13.06,77.19,447.78
2024-05-15 14:30:00,19.86,0.64,12.73,75.55,449.91
2024-05-15 15:30:00,19.9,0.0,12.61,74.94,450.44
2024-05-15 18:30:00,19.93,0.0,12.63,76.09,452.64
2024-05-15 19:30:00,19.95,0.0,12.4,76.43,452.86
2024-05-16 13:30:00,19.9,0.0,12.43,75.18,453.44
2024-05-16 14:00:00,19.95,0.0,12.42,75.86,453.59
2024-05-16 15:30:00,19.96,0.0,12.42,77.4,454.23
2024-05-16 16:00:00,19.97,0.0,12.48,77.33,453.81
2024-05-16 19:30:00,19.92,0.0,12.44,77.5,451.96
2024-05-17 13:30:00,19.9,0.0,12.36,78.47,451.78
2024-05-17 16:00:00,19.96,0.0,12.26,78.55,451.84
2024-05-17 18:00:00,19.95,0.0,12.23,79.03,450.18
2024-05-17 18:30:00,19.89,0.0,12.01,78.83,451.28
2024-05-17 19:30:00,19.98,0.0,11.94,78.71,451.77
2024-05-20 13:30:00,20.02,0.0,12.16,80.36,454.5
2024-05-20 15:00:00,19.99,0.0,12.3,79.44,454.58
2024-05-20 15:30:00,20.0,0.0,12.27,79.5,454.33
2024-05-20 19:30:00,20.02,0.0,12.14,79.64,454.92
2024-05-21 14:00:00,20.03,0.0,12.19,78.64,454.15
2024-05-21 19:30:00,20.14,0.0,11.91,77.83,455.79
2024-05-22 15:00:00,20.18,0.0,12.05,76.67,456.72
2024-05-22 19:30:00,20.13,0.0,12.32,80.7,455.66
2024-05-23 13:30:00,20.2,0.0,12.38,79.99,457.4
2024-05-23 14:00:00,20.17,0.0,12.11,79.08,458.41
2024-05-23 17:30:00,20.13,0.0,12.87,85.2,454.14
2024-05-23 18:30:00,20.0,0.0,13.31,86.35,452.14
2024-05-23 19:30:00,19.98,0.0,13.03,85.02,453.64
2024-05-24 13:30:00,20.08,0.0,12.59,83.41,455.03
2024-05-24 14:00:00,20.18,0.0,12.25,80.65,457.0
2024-05-24 15:00:00,20.26,0.0,12.14,79.61,458.605
2024-05-24 16:00:00,20.27,0.0,12.06,78.33,458.74
2024-05-24 19:00:00,20.3,0.0,12.02,79.26,457.7
2024-05-24 19:30:00,20.35,0.0,11.89,79.16,458.03
2024-05-28 13:30:00,20.33,0.0,12.88,83.68,457.8
2024-05-28 14:00:00,20.37,0.0,12.8,82.31,458.57
2024-05-28 16:00:00,20.41,0.0,12.71,82.36,459.02
2024-05-28 16:30:00,20.41,0.0,12.71,82.14,459.14
2024-05-28 19:30:00,20.36,0.0,12.83,81.4,459.7
2024-05-29 13:30:00,20.44,0.0,14.01,84.77,457.03
2024-05-29 19:30:00,20.41,0.0,14.2,83.71,456.49
2024-05-30 13:30:00,20.4,0.0,13.89,82.03,454.85
2024-05-30 14:00:00,20.4,0.0,13.82,82.31,454.45
2024-05-30 14:30:00,20.3,0.0,14.06,82.63,452.95
2024-05-30 16:30:00,20.32,0.0,13.76,80.26,453.84
