Date,YMAX,YMAX Dividends,VIX,VVIX,QQQ
2024-02-09 20:00:00,20.77,0.0,12.93,82.67,437.16
2024-02-12 14:30:00,20.92,0.0,13.54,83.93,437.18
2024-02-12 15:00:00,20.95,0.0,13.56,84.19,437.0
2024-02-13 16:00:00,20.685,0.0,14.66,85.79,430.34
2024-02-13 19:00:00,20.55,0.0,16.0,94.0,426.97
2024-02-13 19:30:00,20.51,0.0,16.49,95.74,426.11
2024-02-13 20:00:00,20.45,0.0,17.55,100.24,425.96
2024-02-13 20:30:00,20.52,0.0,15.95,94.29,428.51
2024-02-14 14:30:00,20.83,0.0,14.43,83.47,431.28
2024-02-14 15:00:00,20.86,0.0,14.28,81.81,432.41
2024-02-14 15:30:00,20.8,0.0,14.74,82.98,430.17
2024-02-14 16:00:00,20.76,0.0,14.75,82.2,430.38
2024-02-14 16:30:00,20.82,0.0,14.95,83.25,429.79
2024-02-14 17:00:00,20.76,0.0,14.94,84.31,430.61
2024-02-14 18:30:00,20.9,0.0,14.75,84.04,431.18
2024-02-14 19:30:00,20.92,0.0,14.64,84.38,431.45
2024-02-15 14:30:00,20.57,0.53,14.33,83.07,432.17
2024-02-15 15:00:00,20.59,0.0,14.42,83.8,432.23
2024-02-15 15:30:00,20.57,0.0,14.38,83.97,432.92
2024-02-15 16:00:00,20.55,0.0,14.54,84.42,432.55
2024-02-16 14:30:00,20.6,0.0,14.54,84.48,431.24
2024-02-16 19:00:00,20.66,0.0,13.93,80.49,433.98
2024-02-16 20:30:00,20.56,0.0,14.26,82.17,430.57
2024-02-20 14:30:00,20.21,0.0,15.55,88.93,426.17
2024-02-20 15:00:00,20.15,0.0,15.64,88.84,424.85
2024-02-20 15:30:00,20.18,0.0,15.42,88.1,426.45
2024-02-20 16:00:00,20.2,0.0,15.34,88.07,426.4
2024-02-20 17:00:00,20.08,0.0,15.76,89.62,424.0
2024-02-20 18:00:00,20.08,0.0,15.65,89.66,424.47
2024-02-20 20:30:00,20.11,0.0,15.31,86.18,427.32
2024-02-21 15:30:00,20.08,0.0,15.65,86.44,423.93
2024-02-21 17:00:00,20.01,0.0,15.75,85.33,423.4
2024-02-21 17:30:00,20.01,0.0,15.71,85.25,424.14
2024-02-21 19:00:00,19.98,0.0,15.98,86.51,422.54
2024-02-21 19:30:00,19.97,0.0,15.62,85.68,422.44
2024-02-21 20:00:00,19.94,0.0,15.76,85.82,422.76
2024-02-21 20:30:00,20.02,0.0,15.27,84.36,425.61
2024-02-22 14:30:00,20.59,0.0,14.37,79.66,435.11
2024-02-22 15:30:00,20.62,0.0,14.26,78.62,434.9
2024-02-22 18:00:00,20.75,0.0,14.27,78.18,437.56
2024-02-22 20:00:00,20.785,0.0,14.49,79.59,438.45
2024-02-23 16:00:00,20.82,0.0,14.08,79.05,437.26
2024-02-26 15:00:00,20.89,0.0,13.91,80.64,437.65
2024-02-26 15:30:00,20.95,0.0,13.93,80.52,437.58
2024-02-26 16:00:00,20.9,0.0,13.93,80.92,437.571
2024-02-26 17:00:00,20.96,0.0,13.81,80.4,438.4
2024-02-26 20:30:00,20.94,0.0,13.73,80.04,436.64
2024-02-27 15:00:00,21.1,0.0,13.51,78.67,437.46
2024-02-27 17:00:00,21.16,0.0,13.58,78.53,436.615
2024-02-27 20:30:00,21.19,0.0,13.46,78.69,437.62
2024-02-28 15:00:00,21.21,0.0,13.57,80.67,434.93
2024-02-28 17:00:00,21.27,0.0,13.59,79.98,435.61
2024-02-28 18:00:00,21.22,0.0,13.55,80.12,435.79
2024-02-28 19:00:00,21.23,0.0,13.8,81.18,435.1
2024-02-28 20:30:00,21.18,0.0,13.69,80.31,435.28
2024-02-29 14:30:00,21.52,0.0,13.36,78.68,438.77
2024-02-29 15:00:00,21.505,0.0,13.45,79.23,437.91
2024-02-29 15:30:00,21.52,0.0,13.45,79.38,437.6
2024-02-29 16:00:00,21.5,0.0,13.51,79.64,436.96
2024-02-29 16:30:00,21.45,0.0,13.62,79.5,437.1
2024-02-29 17:30:00,21.39,0.0,13.46,78.77,437.96
2024-02-29 20:00:00,21.48,0.0,13.35,78.28,438.67
2024-02-29 20:30:00,21.53,0.0,13.35,77.14,439.09
2024-03-01 14:30:00,21.47,0.0,13.28,76.72,440.79
2024-03-01 15:00:00,21.49,0.0,13.25,76.58,441.91
2024-03-01 16:00:00,21.54,0.0,13.22,77.26,443.09
2024-03-01 17:00:00,21.57,0.0,13.36,78.03,443.98
2024-03-01 19:00:00,21.62,0.0,13.49,78.04,446.47
2024-03-01 20:30:00,21.5875,0.0,13.17,77.74,445.68
2024-03-04 14:30:00,21.6,0.0,13.51,80.02,444.81
2024-03-04 15:00:00,21.59,0.0,13.5,80.04,444.68
2024-03-04 16:00:00,21.6,0.0,13.49,79.93,445.02
2024-03-04 16:30:00,21.57,0.0,13.41,79.73,445.31
2024-03-04 17:00:00,21.56,0.0,13.41,79.68,445.52
2024-03-04 17:30:00,21.57,0.0,13.43,79.71,445.0
2024-03-04 19:30:00,21.61,0.0,13.37,79.0,445.69
2024-03-04 20:30:00,21.59,0.0,13.46,79.19,443.91
2024-03-05 14:30:00,21.35,0.0,14.11,81.77,438.73
2024-03-05 15:30:00,21.17,0.0,14.24,82.95,436.26
2024-03-05 19:00:00,21.14,0.0,14.45,83.84,435.17
2024-03-05 20:30:00,21.13,0.0,14.53,84.04,436.04
2024-03-06 15:30:00,21.36,0.0,14.13,82.82,439.65
2024-03-06 16:30:00,21.41,0.0,14.38,83.78,440.73
2024-03-06 17:00:00,21.47,0.0,14.3,83.28,441.52
2024-03-06 17:30:00,21.49,0.0,14.29,83.24,440.97
2024-03-06 18:00:00,21.49,0.0,14.18,81.78,441.45
