Dates,GLD,VIX,VVIX
2022-01-03 14:30:00,168.45,17.86,111.38
2022-01-03 15:00:00,168.5,17.37,108.81
2022-01-03 15:30:00,168.31,17.42,108.94
2022-01-03 16:00:00,168.19,17.88,109.48
2022-01-03 16:30:00,168.21,17.32,109.62
2022-01-03 17:00:00,168.1,17.3,108.96
2022-01-03 17:30:00,168.12,17.25,108.83
2022-01-03 18:00:00,168.15,17.14,108.56
2022-01-03 18:30:00,168.33,16.95,108.12
2022-01-03 19:00:00,168.345,16.95,108.11
2022-01-03 19:30:00,168.34,16.94,108.33
2022-01-03 20:00:00,168.36,16.92,108.32
2022-01-03 20:30:00,168.29,16.56,107.85
2022-01-04 14:30:00,169.11,16.93,109.0
2022-01-04 15:00:00,169.52,17.0,109.51
2022-01-04 15:30:00,169.49,17.58,111.63
2022-01-04 16:00:00,169.43,17.26,112.72
2022-01-04 16:30:00,169.32,17.29,111.35
2022-01-04 17:00:00,169.545,16.91,109.37
2022-01-04 17:30:00,169.43,17.02,109.71
2022-01-04 18:00:00,169.49,17.28,109.3
2022-01-04 18:30:00,169.57,17.36,111.38
2022-01-04 19:00:00,169.53,17.03,110.18
2022-01-04 19:30:00,169.51,16.68,108.63
2022-01-04 20:00:00,169.45,16.66,107.31
2022-01-04 20:30:00,169.59,16.89,108.15
2022-01-05 14:30:00,170.57,17.01,109.01
2022-01-05 15:00:00,170.27,16.92,107.42
2022-01-05 15:30:00,170.31,17.09,108.24
2022-01-05 16:00:00,170.3,16.97,109.06
2022-01-05 16:30:00,170.38,17.07,109.51
2022-01-05 17:00:00,170.44,17.07,108.6
2022-01-05 17:30:00,170.28,17.4,109.94
2022-01-05 18:00:00,170.48,17.27,110.17
2022-01-05 18:30:00,170.4,17.65,110.41
2022-01-05 19:00:00,169.95,18.54,114.06
2022-01-05 19:30:00,169.35,19.05,116.48
2022-01-05 20:00:00,169.07,19.1,118.41
2022-01-05 20:30:00,169.08,19.9,120.18
2022-01-06 14:30:00,167.37,20.71,120.09
2022-01-06 15:00:00,167.25,19.59,118.57
2022-01-06 15:30:00,167.28,19.59,116.87
2022-01-06 16:00:00,167.31,19.79,117.31
2022-01-06 16:30:00,167.14,19.35,116.78
2022-01-06 17:00:00,167.36,19.35,116.66
2022-01-06 17:30:00,167.31,19.35,117.14
2022-01-06 18:00:00,167.17,19.84,118.12
2022-01-06 18:30:00,166.98,19.78,117.15
2022-01-06 19:00:00,167.1,19.7,117.61
2022-01-06 19:30:00,167.05,19.41,116.37
2022-01-06 20:00:00,167.13,19.91,117.43
2022-01-06 20:30:00,167.03,19.7,117.71
2022-01-07 14:30:00,167.27,19.62,115.02
2022-01-07 15:00:00,167.32,19.99,117.12
2022-01-07 15:30:00,167.11,20.3,119.48
2022-01-07 16:00:00,167.18,19.89,116.91
2022-01-07 16:30:00,167.58,19.59,114.92
2022-01-07 17:00:00,167.46,19.74,115.77
2022-01-07 17:30:00,167.76,19.24,114.91
2022-01-07 18:00:00,167.86,19.21,114.85
2022-01-07 18:30:00,167.8,19.22,114.41
2022-01-07 19:00:00,167.81,19.11,114.5
2022-01-07 19:30:00,167.82,18.74,114.03
2022-01-07 20:00:00,167.69,18.79,114.34
2022-01-07 20:30:00,167.74,18.71,113.2
2022-01-10 14:30:00,167.57,22.16,124.88
2022-01-10 15:00:00,167.6,22.83,125.71
2022-01-10 15:30:00,167.49,22.52,126.53
2022-01-10 16:00:00,167.61,22.3,123.12
2022-01-10 16:30:00,167.57,22.37,123.27
2022-01-10 17:00:00,167.63,22.45,124.16
2022-01-10 17:30:00,168.08,21.96,123.42
2022-01-10 18:00:00,168.08,21.67,120.99
2022-01-10 18:30:00,168.16,20.6,119.09
2022-01-10 19:00:00,168.2,20.54,116.77
2022-01-10 19:30:00,168.19,20.88,116.9
2022-01-10 20:00:00,168.16,20.29,116.43
2022-01-10 20:30:00,168.22,19.33,112.48
2022-01-11 14:30:00,168.73,20.11,117.7
2022-01-11 15:00:00,168.89,20.26,115.97
2022-01-11 15:30:00,169.21,19.8,116.16
2022-01-11 16:00:00,169.56,18.98,112.68
2022-01-11 16:30:00,169.55,18.92,111.76
2022-01-11 17:00:00,169.53,18.91,112.13
2022-01-11 17:30:00,169.76,18.8,110.86
2022-01-11 18:00:00,169.9,18.42,111.19
2022-01-11 18:30:00,170.0,18.71,112.92
2022-01-11 19:00:00,169.99,18.43,112.99
2022-01-11 19:30:00,170.07,18.39,112.81
2022-01-11 20:00:00,170.13,18.54,112.0
2022-01-11 20:30:00,170.28,18.37,111.49
2022-01-12 14:30:00,170.17,17.38,113.29
2022-01-12 15:00:00,170.36,18.09,113.87
2022-01-12 15:30:00,170.37,18.3,115.55
2022-01-12 16:00:00,170.12,18.03,116.05
2022-01-12 16:30:00,170.43,18.17,116.02
2022-01-12 17:00:00,170.47,18.03,116.39
2022-01-12 17:30:00,170.57,17.93,115.74
2022-01-12 18:00:00,170.7,18.18,117.59
2022-01-12 18:30:00,170.56,18.26,116.83
2022-01-12 19:00:00,170.64,17.98,115.87
2022-01-12 19:30:00,170.74,18.19,116.21
2022-01-12 20:00:00,170.57,17.94,116.06
2022-01-12 20:30:00,170.7,17.64,114.87
2022-01-13 14:30:00,169.88,17.79,112.97
2022-01-13 15:00:00,169.75,18.17,115.06
2022-01-13 15:30:00,169.48,18.17,116.2
2022-01-13 16:00:00,169.67,17.79,115.54
2022-01-13 16:30:00,169.9,17.97,114.98
2022-01-13 17:00:00,170.12,18.78,119.1
