Dates,GLD,VIX,VVIX
2006-03-06,55.23,12.74,71.73
2006-03-15,55.12,11.35,15.71
2006-03-16,55.34,11.98,27.94
2006-03-17,55.12,12.12,28.6
2006-03-20,55.17,11.79,37.93
2006-03-21,54.83,11.62,37.35
2006-04-11,59.00999,13.0,69.55
2006-04-24,61.64999,11.75,63.42
2006-04-25,62.78,11.75,61.33
2006-05-01,65.16,12.54,61.96
2006-05-22,65.3,17.71999,91.76
2006-05-23,66.38,18.25999,88.66
2006-05-24,64.06,17.35999,88.63
2006-05-25,64.7,15.5,82.64
2006-05-26,65.10001,14.26,72.5
2006-05-30,65.11,18.65999,82.14
2006-05-31,64.23,16.43999,77.44
2006-06-01,62.56,14.52,74.08
2006-06-02,63.5,14.32,70.27
2006-06-05,63.28999,16.64999,77.38
2006-06-06,62.55,17.34,78.66
2006-06-07,62.28,17.79999,73.86
2006-06-08,60.91,18.34999,78.12
2006-06-09,60.45,18.12,79.87
2006-06-12,60.03,20.95999,83.52
2006-06-13,55.92,23.81,93.2
2006-06-14,55.62,21.45999,102.11
2006-06-15,57.32001,15.9,99.13
2006-06-16,57.67999,17.25,106.93
2006-06-19,56.36,17.82999,102.56
2006-06-20,57.3,16.68999,94.76
2006-06-21,58.33,15.52,92.4
2006-06-22,57.73,15.88,91.85
2006-06-23,57.99001,15.89,86.81
2006-06-26,58.28,15.62,90.71
2006-06-27,57.67999,16.39999,95.12
2006-06-28,57.53999,15.79,96.44
2006-06-29,59.52,13.03,96.63
2006-06-30,61.23,13.08,92.1
2006-07-03,62.17999,13.05,89.13
2006-07-05,62.5,14.15,91.98
2006-07-06,63.02,13.65,92.88
2006-07-07,62.63,13.97,91.46
2006-07-10,62.02,14.02,93.52
2006-07-11,63.81,13.14,91.99
2006-07-24,61.14,14.98,99.61
2006-07-25,61.55,14.85,94.97
2006-07-26,62.0,14.62,89.23
2006-07-27,62.89999,14.94,95.29
2006-07-28,63.11,14.33,93.16
2006-07-31,63.16,14.95,92.79
2006-08-01,64.32001,15.05,92.67
2006-08-02,64.75,14.34,91.34
2006-08-03,64.12,14.46,89.24
2006-08-04,64.28,14.34,90.68
2006-08-07,64.5,15.23,89.58
2006-08-08,63.97,15.23,88.09
2006-08-16,62.49001,12.41,57.01
2006-08-21,62.44,12.22,80.68
2006-08-22,62.05,12.19,78.75
2006-08-23,61.83,12.4,81.15
2006-08-24,61.75,12.4,79.7
2006-08-25,61.77,12.31,81.94
2006-08-28,61.0,12.18,79.47
2006-08-29,60.94,12.28,81.8
2006-08-30,61.42,12.22,80.77
2006-08-31,62.28999,12.31,79.84
2006-09-01,62.14,11.96,77.19
2006-09-05,63.36,12.63,80.18
2006-09-06,62.86,13.74,82.96
2006-09-07,61.25,13.88,86.18
2006-09-08,60.64,13.16,83.7
2006-09-11,58.5,12.99,85.78
2006-09-12,58.31,11.92,80.99
2006-09-13,58.62,11.18,81.55
2006-09-14,57.19,11.55,81.93
2006-09-15,57.39999,11.76,59.52
2006-09-18,58.23,11.78,80.97
2006-09-19,56.92,11.98,81.77
2006-09-20,57.25999,11.39,80.83
2006-09-21,57.95,12.25,85.95
2006-09-22,58.5,12.59,85.74
2006-09-25,58.5,12.12,82.01
2006-09-26,58.74001,11.53,81.59
2006-09-27,59.81,11.58,81.08
2006-09-28,59.78999,11.72,84.74
2006-09-29,59.47,11.98,84.31
2006-10-02,59.14999,12.57,85.46
2006-10-03,57.11,12.24,86.57
2006-10-04,56.37,11.86,82.5
2006-10-05,56.92,11.98,87.5
2006-10-06,56.99001,11.56,85.63
2006-10-09,57.2,11.68,84.76
2006-10-10,57.0,11.52,83.62
2006-10-11,56.88,11.62,88.4
2006-10-12,57.49001,11.09,86.87
2006-10-13,58.57001,10.75,86.61
2006-10-16,59.17,11.09,82.29
2006-10-17,58.64999,11.73,66.99
2006-10-18,58.59,11.34,79.1
2006-10-19,59.41,10.9,77.71
2006-10-20,58.78,10.63,78.6
2006-10-23,57.75999,11.08,84.73
2006-10-24,58.17,10.78,87.39
2006-10-25,58.75999,10.66,85.9
2006-10-26,59.28999,10.56,81.6
2006-10-27,59.39999,10.8,82.71
2006-10-30,59.89999,11.2,80.16
2006-10-31,60.24001,11.1,76.4
2006-11-01,61.36,11.51,78.89
2006-11-02,61.92,11.42,77.08
2006-11-03,62.3,11.16,75.19
2006-11-06,61.89,11.16,70.46
2006-11-07,62.03999,11.09,67.5
2006-11-08,61.11,10.75,62.08
2006-11-09,62.95,11.01,60.42
2006-11-10,62.49001,10.79,61.06
2006-11-13,62.19,10.86,36.14
2006-11-14,61.63,10.5,60.77
2006-11-15,61.84,10.31,58.58
2006-11-16,61.31,10.16,62.48
2006-11-17,61.78,10.05,64.3
2006-11-20,61.77,9.97,65.98
2006-11-21,62.27,9.9,65.3
2006-11-22,62.5,10.14,63.62
2006-11-24,63.5,10.73,66.48
2006-11-27,63.7,12.3,71.6
2006-11-28,63.57001,11.62,66.56
2006-11-29,63.16,10.83,60.3
2006-11-30,64.39,10.91,61.39
2006-12-01,64.12,11.66,62.33
2006-12-04,64.12,11.23,62.11
2006-12-05,63.81,11.27,65.87
2006-12-06,62.69,11.33,66.49
2006-12-07,62.73,12.67,68.65
2006-12-08,62.05,12.07,71.34
2006-12-11,62.57001,10.71,72.84
2006-12-12,62.52,10.65,74.78
2006-12-13,62.48,10.18,79.06
2006-12-14,62.12,9.97,82.57
2006-12-15,61.0,10.05,84.63
2006-12-18,61.03999,10.6,84.26
2006-12-19,61.8,10.3,78.91
2006-12-20,61.62,10.26,84.68
2006-12-21,61.38,10.53,83.94
2006-12-22,61.64999,11.36,83.41
2006-12-26,61.98,11.26,85.28
2006-12-27,62.22,10.64,83.01
2006-12-28,62.89999,10.99,88.72
2006-12-29,63.21001,11.56,88.16
2007-01-03,62.28,12.04,87.63
2007-01-04,61.64999,11.51,88.19
2007-01-05,60.17,12.14,90.17
2007-01-08,60.48,12.0,92.04
2007-01-09,60.85001,11.91,92.76
2007-01-10,60.59,11.47,93.78
2007-01-11,60.63,10.87,85.97
2007-01-12,62.17,10.15,85.18
2007-01-16,61.97,10.74,85.3
2007-01-17,62.64,10.59,84.93
2007-01-18,62.25999,10.85,83.66
2007-01-19,63.0,10.4,82.49
2007-01-22,62.72,10.77,84.43
2007-01-23,64.23,10.34,81.48
2007-01-24,64.33,9.89,77.51
2007-01-25,64.06,11.22,80.45
2007-01-26,64.10001,11.13,81.36
2007-01-29,63.77,11.45,81.68
