Dates,GLD,VIX,VVIX
2019-01-02 14:30:00,121.56,26.34,87.02
2019-01-02 15:30:00,121.69,25.65,85.77
2019-01-02 16:30:00,121.53,25.35,85.66
2019-01-02 17:30:00,121.22,24.16,84.36
2019-01-02 18:30:00,121.07,24.28,83.92
2019-01-02 19:30:00,121.15,24.24,83.67
2019-01-02 20:30:00,121.32,23.16,81.66
2019-01-03 14:30:00,121.78,25.25,84.97
2019-01-03 15:30:00,122.04,25.84,84.58
2019-01-03 16:30:00,121.96,24.96,83.52
2019-01-03 17:30:00,122.25,24.89,83.52
2019-01-03 18:30:00,122.15,24.64,82.63
2019-01-03 19:30:00,122.32,25.28,83.67
2019-01-03 20:30:00,122.45,25.26,83.8
2019-01-04 14:30:00,121.18,22.86,81.02
2019-01-04 15:30:00,121.33,22.45,80.89
2019-01-04 16:30:00,121.5,22.32,81.05
2019-01-04 17:30:00,121.4,22.32,81.86
2019-01-04 18:30:00,121.41,22.58,82.11
2019-01-04 19:30:00,121.555,22.01,82.79
2019-01-04 20:30:00,121.47,21.39,84.44
2019-01-07 14:30:00,121.93,21.83,84.37
2019-01-07 15:30:00,121.77,21.42,83.64
2019-01-07 16:30:00,121.68,21.2,83.24
2019-01-07 17:30:00,121.81,21.07,82.93
2019-01-07 18:30:00,121.74,21.39,83.05
2019-01-07 19:30:00,121.64,21.22,82.68
2019-01-07 20:30:00,121.83,21.27,82.74
2019-01-08 14:30:00,121.37,20.92,84.09
2019-01-08 15:30:00,121.41,21.36,84.66
2019-01-08 16:30:00,121.435,21.01,83.7
2019-01-08 17:30:00,121.45,20.51,83.23
2019-01-08 18:30:00,121.43,20.51,83.13
2019-01-08 19:30:00,121.42,20.5,82.47
2019-01-08 20:30:00,121.51,20.42,82.41
2019-01-09 14:30:00,122.07,20.05,84.93
2019-01-09 15:30:00,121.96,20.2,85.54
2019-01-09 16:30:00,121.8,20.11,86.02
2019-01-09 17:30:00,122.04,19.97,85.77
2019-01-09 18:30:00,122.22,19.79,86.22
2019-01-09 19:30:00,122.18,19.57,86.1
2019-01-09 20:30:00,122.3,19.86,86.62
2019-01-10 14:30:00,121.99,20.91,88.37
2019-01-10 15:30:00,121.78,20.12,88.41
2019-01-10 16:30:00,121.84,20.29,87.34
2019-01-10 17:30:00,121.65,20.34,87.7
2019-01-10 18:30:00,121.65,19.87,87.56
2019-01-10 19:30:00,121.66,19.81,87.38
2019-01-10 20:30:00,121.585,19.48,86.35
2019-01-11 14:30:00,122.01,19.5,87.6
2019-01-11 15:30:00,121.92,19.42,86.31
