Dates,LQD,VIX,VVIX
2022-01-03 14:30:00,116.08745346,17.86,111.38
2022-01-03 15:00:00,116.29068161,17.37,108.81
2022-01-03 15:30:00,116.27300959,17.42,108.94
2022-01-03 16:00:00,116.14046949,17.88,109.48
2022-01-03 16:30:00,116.1493055,17.32,109.62
2022-01-03 17:00:00,116.03443742,17.3,108.96
2022-01-03 17:30:00,115.99025738,17.25,108.83
2022-01-03 18:00:00,115.95491336,17.14,108.56
2022-01-03 18:30:00,115.99025738,16.95,108.12
2022-01-03 19:00:00,116.06094544,16.95,108.11
2022-01-03 19:30:00,116.10512547,16.94,108.33
2022-01-03 20:00:00,116.12279748,16.92,108.32
2022-01-03 20:30:00,115.86655329,16.56,107.85
2022-01-04 14:30:00,115.70750518,16.93,109.0
2022-01-04 15:00:00,115.75168521,17.0,109.51
2022-01-04 15:30:00,115.66332514,17.58,111.63
2022-01-04 16:00:00,115.62798112,17.26,112.72
2022-01-04 16:30:00,115.56612907,17.29,111.35
2022-01-04 17:00:00,115.53078505,16.91,109.37
2022-01-04 17:30:00,115.59705509,17.02,109.71
2022-01-04 18:00:00,115.63239912,17.28,109.3
2022-01-04 18:30:00,115.62798112,17.36,111.38
2022-01-04 19:00:00,115.72517719,17.03,110.18
2022-01-04 19:30:00,115.76052121,16.68,108.63
2022-01-04 20:00:00,115.82237326,16.66,107.31
2022-01-04 20:30:00,115.94607735,16.89,108.15
2022-01-05 14:30:00,116.05210943,17.01,109.01
2022-01-05 15:00:00,116.10512547,16.92,107.42
2022-01-05 15:30:00,115.97258537,17.09,108.24
2022-01-05 16:00:00,115.85771729,16.97,109.06
2022-01-05 16:30:00,115.82237326,17.07,109.51
2022-01-05 17:00:00,115.69866917,17.07,108.6
2022-01-05 17:30:00,115.75610321,17.4,109.94
2022-01-05 18:00:00,115.79586524,17.27,110.17
2022-01-05 18:30:00,115.71634118,17.65,110.41
2022-01-05 19:00:00,115.55729307,18.54,114.06
2022-01-05 19:30:00,115.38057294,19.05,116.48
2022-01-05 20:00:00,115.35406492,19.1,118.41
2022-01-05 20:30:00,115.25686884,19.9,120.18
2022-01-06 14:30:00,115.04480469,20.71,120.09
