Dates,LQD,VIX,VVIX
2012-03-14 14:30:00,73.43381406,15.18,103.34
2012-03-14 18:30:00,73.46581137,15.72,106.63
2012-03-15 14:30:00,73.2482297,15.35,108.87
2012-03-15 18:30:00,73.21623239,15.06,108.42
2012-03-16 14:30:00,73.25462916,14.88,105.24
2012-03-16 18:30:00,73.31862377,14.7,105.78
2012-03-19 14:30:00,73.1650367,14.94,108.76
2012-03-19 18:30:00,73.21623239,14.84,106.49
2012-03-20 14:30:00,73.06264533,15.27,109.33
2012-03-20 18:30:00,73.18423509,15.44,109.38
2012-03-21 14:30:00,73.40181676,15.22,106.56
2012-03-21 18:30:00,73.47221083,14.96,104.65
2012-03-22 14:30:00,73.3954173,16.43,103.87
2012-03-22 18:30:00,73.36981945,16.34,102.53
2012-03-23 14:30:00,73.49780867,15.67,98.42
2012-03-23 18:30:00,73.46581137,14.88,98.6
2012-03-26 14:30:00,73.64499627,14.89,99.73
2012-03-26 18:30:00,73.60020005,14.57,96.08
2012-03-27 14:30:00,74.06096123,15.06,99.44
2012-03-27 18:30:00,74.16975207,15.03,101.15
2012-03-28 14:30:00,74.11215692,16.24,105.57
2012-03-28 18:30:00,73.9841677,16.41,102.74
2012-03-29 14:30:00,74.08015962,16.87,105.68
2012-03-29 18:30:00,74.14415422,16.17,101.94
2012-03-30 14:30:00,74.20814883,15.7,100.05
2012-03-30 18:30:00,74.01616501,15.56,100.28
2012-04-02 14:30:00,74.11091177,15.42,100.06
2012-04-02 18:30:00,74.18797016,15.36,100.38
2012-04-03 14:30:00,74.14944097,15.6,99.49
2012-04-03 18:30:00,73.47518001,16.08,98.37
2012-04-04 14:30:00,73.74488439,17.48,101.29
2012-04-04 18:30:00,73.61645373,16.64,99.73
2012-04-05 14:30:00,73.76414899,16.35,98.28
2012-04-05 18:30:00,73.75772746,16.89,99.47
2012-04-09 14:30:00,74.30355776,18.54,104.18
2012-04-09 18:30:00,74.23934243,17.97,104.59
2012-04-10 14:30:00,74.26502856,19.29,111.09
2012-04-10 18:30:00,74.1751271,21.02,109.13
2012-04-11 14:30:00,74.04027491,19.13,109.67
2012-04-11 18:30:00,74.0980687,19.85,111.19
2012-04-12 14:30:00,74.27145009,18.42,107.02
2012-04-12 18:30:00,74.1365979,18.17,104.27
2012-04-13 14:30:00,74.39988075,18.8,109.72
2012-04-13 18:30:00,74.50904681,18.94,110.76
2012-04-16 14:30:00,74.6246344,19.66,112.31
2012-04-16 18:30:00,74.48978221,19.59,110.97
2012-04-17 14:30:00,74.54115448,17.75,106.5
2012-04-17 18:30:00,74.58610521,18.28,107.01
2012-04-18 14:30:00,74.61821287,18.76,106.5
2012-04-18 18:30:00,74.58610521,18.31,106.06
2012-04-19 14:30:00,74.58610521,17.8,105.54
2012-04-19 18:30:00,74.63747747,19.0,103.96
