Dates,LQD,VIX,VVIX
2006-03-06,49.54018885,12.74,71.73
2006-03-15,49.83616152,11.35,15.71
2006-03-16,50.10864431,11.98,27.94
2006-03-17,50.06166452,12.12,28.6
2006-03-20,50.11803557,11.79,37.93
2006-03-21,49.9301211,11.62,37.35
2006-04-11,49.38371304,13.0,69.55
2006-04-24,49.45919918,11.75,63.42
2006-04-25,49.22331975,11.75,61.33
2006-05-01,49.11958118,12.54,61.96
2006-05-22,49.52235132,17.71999,91.76
2006-05-23,49.48918637,18.25999,88.66
2006-05-24,49.54131018,17.35999,88.63
2006-05-25,49.47497078,15.5,82.64
2006-05-26,49.47970931,14.26,72.5
2006-05-30,49.37072317,18.65999,82.14
2006-05-31,49.27595735,16.43999,77.44
2006-06-01,49.36196473,14.52,74.08
2006-06-02,49.67124544,14.32,70.27
2006-06-05,49.51898658,16.64999,77.38
2006-06-06,49.6284213,17.34,78.66
2006-06-07,49.49519064,17.79999,73.86
2006-06-08,49.65697072,18.34999,78.12
2006-06-09,49.70931134,18.12,79.87
2006-06-12,49.57608068,20.95999,83.52
2006-06-13,49.6284213,23.81,93.2
2006-06-14,49.41430535,21.45999,102.11
2006-06-15,49.31437759,15.9,99.13
2006-06-16,49.24776226,17.25,106.93
2006-06-19,49.18590517,17.82999,102.56
2006-06-20,49.14783451,16.68999,94.76
2006-06-21,49.08598218,15.52,92.4
2006-06-22,48.97178447,15.88,91.85
2006-06-23,48.89089442,15.89,86.81
2006-06-26,48.89089442,15.62,90.71
2006-06-27,48.81476262,16.39999,95.12
2006-06-28,48.70532314,15.79,96.44
2006-06-29,48.96226323,13.03,96.63
2006-06-30,49.23348755,13.08,92.1
2006-07-03,49.17276748,13.05,89.13
2006-07-05,48.86212692,14.15,91.98
2006-07-06,49.10585925,13.65,92.88
2006-07-07,49.29224645,13.97,91.46
2006-07-10,49.35437552,14.02,93.52
2006-07-11,49.43083729,13.14,91.99
2006-07-24,49.76060404,14.98,99.61
2006-07-25,49.72236599,14.85,94.97
2006-07-26,49.82750749,14.62,89.23
2006-07-27,49.7510505,14.94,95.29
2006-07-28,49.94221208,14.33,93.16
2006-07-31,49.9517704,14.95,92.79
2006-08-01,50.02174708,15.05,92.67
2006-08-02,50.10814391,14.34,91.34
2006-08-03,50.1129392,14.46,89.24
2006-08-04,50.30974771,14.34,90.68
2006-08-07,50.26654689,15.23,89.58
2006-08-08,50.29534743,15.23,88.09
2006-08-16,50.57375268,12.41,57.01
2006-08-21,50.72255548,12.22,80.68
2006-08-22,50.75616091,12.19,78.75
2006-08-23,50.73695575,12.4,81.15
2006-08-24,50.73695575,12.4,79.7
2006-08-25,50.80896191,12.31,81.94
2006-08-28,50.82335738,12.18,79.47
2006-08-29,50.85695801,12.28,81.8
2006-08-30,50.89055865,12.22,80.77
2006-08-31,51.0633619,12.31,79.84
2006-09-01,51.00284754,11.96,77.19
2006-09-05,50.87748603,12.63,80.18
2006-09-06,50.84856127,13.74,82.96
2006-09-07,50.90159883,13.88,86.18
2006-09-08,50.95462675,13.16,83.7
2006-09-11,50.93534519,12.99,85.78
2006-09-12,51.01249073,11.92,80.99
2006-09-13,51.14749543,11.18,81.55
2006-09-14,51.01731233,11.55,81.93
2006-09-15,50.98356597,11.76,59.52
2006-09-18,50.99319952,11.78,80.97
2006-09-19,51.1908898,11.98,81.77
2006-09-20,51.27285694,11.39,80.83
2006-09-21,51.58143911,12.25,85.95
2006-09-22,51.61036387,12.59,85.74
2006-09-25,51.63447668,12.12,82.01
2006-09-26,51.54286152,11.53,81.59
2006-09-27,51.52840155,11.58,81.08
2006-09-28,51.53322315,11.72,84.74
2006-09-29,51.50911517,11.98,84.31
2006-10-02,51.5936504,12.57,85.46
2006-10-03,51.62755701,12.24,86.57
2006-10-04,51.87455077,11.86,82.5
2006-10-05,51.70503708,11.98,87.5
2006-10-06,51.41445533,11.56,85.63
2006-10-09,51.45320505,11.68,84.76
2006-10-10,51.22557404,11.52,83.62
2006-10-11,51.18198121,11.62,88.4
2006-10-12,51.23041715,11.09,86.87
2006-10-13,51.03669275,10.75,86.61
2006-10-16,51.16745188,11.09,82.29
2006-10-17,51.26432376,11.73,66.99
2006-10-18,51.37087218,11.34,79.1
2006-10-19,51.2062016,10.9,77.71
2006-10-20,51.22557404,10.63,78.6
2006-10-23,51.1093394,11.08,84.73
2006-10-24,51.19652022,10.78,87.39
2006-10-25,51.41445533,10.66,85.9
2006-10-26,51.57912107,10.56,81.6
2006-10-27,51.7437868,10.8,82.71
2006-10-30,51.7922179,11.2,80.16
2006-10-31,52.04890273,11.1,76.4
2006-11-01,52.1963888,11.51,78.89
2006-11-02,52.13315096,11.42,77.08
2006-11-03,51.76834534,11.16,75.19
2006-11-06,51.8267191,11.16,70.46
2006-11-07,52.01154909,11.09,67.5
2006-11-08,52.07478693,10.75,62.08
2006-11-09,52.12829175,11.01,60.42
2006-11-10,52.26935479,10.79,61.06
2006-11-13,52.2353014,10.86,36.14
2006-11-14,52.31799068,10.5,60.77
2006-11-15,52.18179658,10.31,58.58
2006-11-16,52.10883545,10.16,62.48
2006-11-17,52.27907808,10.05,64.3
2006-11-20,52.31799068,9.97,65.98
2006-11-21,52.39095667,9.9,65.3
2006-11-22,52.4493207,10.14,63.62
2006-11-24,52.53200998,10.73,66.48
2006-11-27,52.53686919,12.3,71.6
2006-11-28,52.63901963,11.62,66.56
2006-11-29,52.5855148,10.83,60.3
2006-11-30,52.78494188,10.91,61.39
2006-12-01,52.84710717,11.66,62.33
2006-12-04,52.96921232,11.23,62.11
2006-12-05,52.94478641,11.27,65.87
2006-12-06,52.81291773,11.33,66.49
2006-12-07,52.83733388,12.67,68.65
2006-12-08,52.64197053,12.07,71.34
2006-12-11,52.75919147,10.71,72.84
2006-12-12,52.8715282,10.65,74.78
2006-12-13,52.60778597,10.18,79.06
2006-12-14,52.55893903,9.97,82.57
2006-12-15,52.54917062,10.05,84.63
2006-12-18,52.55405971,10.6,84.26
2006-12-19,52.54428641,10.3,78.91
2006-12-20,52.58336006,10.26,84.68
2006-12-21,52.72011782,10.53,83.94
2006-12-22,52.55405971,11.36,83.41
2006-12-26,52.61266529,11.26,85.28
2006-12-27,52.44454767,10.64,83.01
2006-12-28,52.33666735,10.99,88.72
2006-12-29,52.31214419,11.56,88.16
2007-01-03,52.19936512,12.04,87.63
2007-01-04,52.5916572,11.51,88.19
2007-01-05,52.5622353,12.14,90.17
2007-01-08,52.54261579,12.0,92.04
