Dates,LQD,VIX,VVIX
2019-01-02 14:30:00,91.69592038,26.34,87.02
2019-01-02 15:30:00,91.69592038,25.65,85.77
2019-01-02 16:30:00,91.74868917,25.35,85.66
2019-01-02 17:30:00,91.76898486,24.16,84.36
2019-01-02 18:30:00,91.72433435,24.28,83.92
2019-01-02 19:30:00,91.76898486,24.24,83.67
2019-01-02 20:30:00,91.85828589,23.16,81.66
2019-01-03 14:30:00,91.76086659,25.25,84.97
2019-01-03 15:30:00,91.89887727,25.84,84.58
2019-01-03 16:30:00,91.86640417,24.96,83.52
2019-01-03 17:30:00,91.86640417,24.89,83.52
2019-01-03 18:30:00,91.85016762,24.64,82.63
2019-01-03 19:30:00,91.88264072,25.28,83.67
2019-01-03 20:30:00,91.89481813,25.26,83.8
2019-01-04 14:30:00,91.60661935,22.86,81.02
2019-01-04 15:30:00,91.63909246,22.45,80.89
2019-01-04 16:30:00,91.67968383,22.32,81.05
2019-01-04 17:30:00,91.72433435,22.32,81.86
2019-01-04 18:30:00,91.78522141,22.58,82.11
2019-01-04 19:30:00,91.81769451,22.01,82.79
2019-01-04 20:30:00,91.85828589,21.39,84.44
2019-01-07 14:30:00,92.02876967,21.83,84.37
2019-01-07 15:30:00,91.99629657,21.42,83.64
2019-01-07 16:30:00,92.00035571,21.2,83.24
2019-01-07 17:30:00,92.0206514,21.07,82.93
2019-01-07 18:30:00,91.94758692,21.39,83.05
2019-01-07 19:30:00,91.91511382,21.22,82.68
2019-01-07 20:30:00,91.86234503,21.27,82.74
2019-01-08 14:30:00,91.98006002,20.92,84.09
2019-01-08 15:30:00,92.00441485,21.36,84.66
2019-01-08 16:30:00,92.04500622,21.01,83.7
2019-01-08 17:30:00,92.04906536,20.51,83.23
2019-01-08 18:30:00,92.06124278,20.51,83.13
2019-01-08 19:30:00,92.0531245,20.5,82.47
2019-01-08 20:30:00,92.07747933,20.42,82.41
2019-01-09 14:30:00,92.29667276,20.05,84.93
2019-01-09 15:30:00,92.30479104,20.2,85.54
2019-01-09 16:30:00,92.27231794,20.11,86.02
2019-01-09 17:30:00,92.32914586,19.97,85.77
2019-01-09 18:30:00,92.39409207,19.79,86.22
2019-01-09 19:30:00,92.38597379,19.57,86.1
2019-01-09 20:30:00,92.41844689,19.86,86.62
2019-01-10 14:30:00,92.19113518,20.91,88.37
2019-01-10 15:30:00,92.19113518,20.12,88.41
2019-01-10 16:30:00,92.1505438,20.29,87.34
2019-01-10 17:30:00,92.14242553,20.34,87.7
2019-01-10 18:30:00,92.14242553,19.87,87.56
2019-01-10 19:30:00,92.14242553,19.81,87.38
2019-01-10 20:30:00,92.17489863,19.48,86.35
2019-01-11 14:30:00,92.28855449,19.5,87.6
2019-01-11 15:30:00,92.24796311,19.42,86.31
2019-01-11 16:30:00,92.28855449,19.11,85.43
2019-01-11 17:30:00,92.32914586,18.71,85.95
2019-01-11 18:30:00,92.34538241,18.55,85.13
2019-01-11 19:30:00,92.31290931,18.52,84.4
2019-01-11 20:30:00,92.35350069,18.16,83.85
2019-01-14 14:30:00,92.22766742,19.33,84.49
2019-01-14 15:30:00,92.20331259,19.37,82.86
2019-01-14 16:30:00,92.18301691,19.34,81.98
2019-01-14 17:30:00,92.19519432,19.21,81.89
2019-01-14 18:30:00,92.17489863,18.9,82.32
2019-01-14 19:30:00,92.09371588,18.77,82.9
2019-01-14 20:30:00,92.10183415,19.05,83.01
2019-01-15 14:30:00,92.1505438,18.53,82.26
2019-01-15 15:30:00,92.12618898,18.36,81.54
2019-01-15 16:30:00,92.16272122,18.32,80.84
2019-01-15 17:30:00,92.15866208,18.1,80.43
2019-01-15 18:30:00,92.1505438,18.46,80.87
2019-01-15 19:30:00,92.16678036,18.33,80.68
2019-01-15 20:30:00,92.1505438,18.38,81.39
2019-01-16 14:30:00,92.20737173,18.55,81.27
2019-01-16 15:30:00,92.23984483,18.82,81.29
2019-01-16 16:30:00,92.24390397,18.66,81.46
2019-01-16 17:30:00,92.29667276,18.65,81.31
2019-01-16 18:30:00,92.35350069,18.28,81.08
2019-01-16 19:30:00,92.41844689,18.43,81.24
2019-01-16 20:30:00,92.36161896,18.93,83.34
2019-01-17 14:30:00,92.32102759,18.98,82.62
2019-01-17 15:30:00,92.39003293,18.77,82.24
2019-01-17 16:30:00,92.46715654,18.64,82.37
2019-01-17 17:30:00,92.43874258,18.39,82.29
2019-01-17 18:30:00,92.49151137,18.25,82.0
2019-01-17 19:30:00,92.46715654,18.17,81.86
2019-01-17 20:30:00,92.49962965,18.2,82.79
2019-01-18 14:30:00,92.6782317,17.91,81.03
2019-01-18 15:30:00,92.65387688,17.39,78.5
2019-01-18 16:30:00,92.68634998,17.27,79.5
2019-01-18 17:30:00,92.73505963,17.73,80.66
2019-01-18 18:30:00,92.72694136,17.6,81.7
2019-01-18 19:30:00,92.67417257,18.18,82.51
2019-01-18 20:30:00,92.70258653,17.88,82.49
2019-01-22 14:30:00,92.92177997,19.02,86.64
2019-01-22 15:30:00,92.92989824,19.04,88.41
2019-01-22 16:30:00,92.9258391,19.38,91.22
2019-01-22 17:30:00,93.01514013,20.4,92.79
2019-01-22 18:30:00,92.97860789,20.09,94.27
2019-01-22 19:30:00,92.88930686,21.12,94.78
2019-01-22 20:30:00,92.84871549,20.59,93.81
2019-01-23 14:30:00,92.98266703,19.96,91.75
2019-01-23 15:30:00,93.10444116,20.7,93.48
2019-01-23 16:30:00,93.09226375,21.92,93.75
2019-01-23 17:30:00,92.92989824,20.99,93.07
2019-01-23 18:30:00,93.03137668,20.22,90.75
2019-01-23 19:30:00,93.10038202,20.21,89.59
2019-01-23 20:30:00,93.0760272,19.53,88.45
2019-01-24 14:30:00,93.34393029,19.64,85.61
2019-01-24 15:30:00,93.28710236,19.11,85.7
2019-01-24 16:30:00,93.30739805,19.22,86.08
2019-01-24 17:30:00,93.29927977,19.98,87.71
2019-01-24 18:30:00,93.28710236,19.55,85.64
2019-01-24 19:30:00,93.26274753,18.89,84.45
2019-01-24 20:30:00,93.30739805,18.9,84.89
2019-01-25 14:30:00,93.31145718,17.88,83.56
2019-01-25 15:30:00,93.36016684,17.75,83.99
2019-01-25 16:30:00,93.36016684,17.64,83.5
2019-01-25 17:30:00,93.32769373,17.83,83.18
2019-01-25 18:30:00,93.37640339,17.79,83.16
2019-01-25 19:30:00,93.35204856,17.53,83.12
2019-01-25 20:30:00,93.39263994,17.45,83.38
2019-01-28 14:30:00,93.32769373,19.91,88.44
2019-01-28 15:30:00,93.33175287,20.0,87.58
2019-01-28 16:30:00,93.34393029,20.15,89.84
2019-01-28 17:30:00,93.41699476,19.76,88.37
2019-01-28 18:30:00,93.38452166,19.47,87.24
2019-01-28 19:30:00,93.34798942,19.33,86.27
2019-01-28 20:30:00,93.37640339,18.92,86.44
2019-01-29 14:30:00,93.48194097,19.04,85.93
2019-01-29 15:30:00,93.50629579,19.59,86.66
2019-01-29 16:30:00,93.46570442,19.11,86.05
2019-01-29 17:30:00,93.47382269,19.06,86.56
2019-01-29 18:30:00,93.49005924,18.86,87.31
2019-01-29 19:30:00,93.53065062,19.32,87.06
2019-01-29 20:30:00,93.56312372,19.31,86.84
2019-01-30 14:30:00,93.571242,19.19,85.67
2019-01-30 15:30:00,93.60777423,18.81,85.28
2019-01-30 16:30:00,93.58747855,18.65,84.7
2019-01-30 17:30:00,93.53876889,18.7,84.58
2019-01-30 18:30:00,93.81479026,18.13,83.1
2019-01-30 19:30:00,93.90409129,17.81,82.14
2019-01-30 20:30:00,93.99745145,17.72,82.39
2019-01-31 14:30:00,94.51296194,17.2,80.37
2019-01-31 15:30:00,94.54949418,17.05,79.84
2019-01-31 16:30:00,94.66315003,16.95,80.53
2019-01-31 17:30:00,94.68750486,17.14,80.69
2019-01-31 18:30:00,94.6590909,16.82,79.86
2019-01-31 19:30:00,94.691564,16.79,80.09
2019-01-31 20:30:00,94.6590909,16.61,79.24
2019-02-01 14:30:00,94.47383572,16.33,78.93
2019-02-01 15:30:00,94.45347849,16.54,79.12
2019-02-01 16:30:00,94.48605006,16.27,79.75
2019-02-01 17:30:00,94.47790717,16.3,80.05
2019-02-01 18:30:00,94.48197861,16.44,80.93
2019-02-01 19:30:00,94.53083597,16.6,80.57
2019-02-01 20:30:00,94.46162138,16.1,80.0
2019-02-04 14:30:00,94.1806916,16.47,79.89
2019-02-04 15:30:00,94.25397763,15.85,78.45
2019-02-04 16:30:00,94.26619197,15.83,77.94
2019-02-04 17:30:00,94.29062065,15.91,77.69
2019-02-04 18:30:00,94.31912077,15.72,77.45
2019-02-04 19:30:00,94.28247775,15.61,77.17
2019-02-04 20:30:00,94.33133511,15.74,77.36
2019-02-05 14:30:00,94.75069406,15.73,76.45
2019-02-05 15:30:00,94.84026587,15.16,78.08
2019-02-05 16:30:00,94.75069406,15.63,78.74
2019-02-05 17:30:00,94.75883695,15.93,79.23
2019-02-05 18:30:00,94.66112224,15.4,79.81
2019-02-05 19:30:00,94.61633634,15.53,79.89
2019-02-05 20:30:00,94.69369381,15.57,80.62
2019-02-06 14:30:00,94.604122,15.51,86.08
2019-02-06 15:30:00,94.63669357,15.11,84.11
2019-02-06 16:30:00,94.62855067,15.3,85.06
2019-02-06 17:30:00,94.51862163,15.29,84.87
2019-02-06 18:30:00,94.53083597,15.41,84.86
2019-02-06 19:30:00,94.51455018,15.47,85.09
2019-02-06 20:30:00,94.52269308,15.35,84.99
2019-02-07 14:30:00,94.3924068,16.43,84.91
2019-02-07 15:30:00,94.339478,16.71,86.17
2019-02-07 16:30:00,94.31912077,17.54,86.08
2019-02-07 17:30:00,94.41683548,16.94,85.34
2019-02-07 18:30:00,94.46162138,16.94,85.76
2019-02-07 19:30:00,94.49012151,17.0,85.5
2019-02-07 20:30:00,94.50640729,16.31,85.01
2019-02-08 14:30:00,94.56340754,17.24,87.28
2019-02-08 15:30:00,94.62855067,17.44,87.31
2019-02-08 16:30:00,94.604122,17.09,86.58
2019-02-08 17:30:00,94.66519369,16.73,85.92
2019-02-08 18:30:00,94.71812249,16.33,83.67
2019-02-08 19:30:00,94.72219394,16.27,83.28
2019-02-08 20:30:00,94.75069406,15.69,82.7
2019-02-11 14:30:00,94.56747898,16.23,83.09
2019-02-11 15:30:00,94.56340754,16.42,83.28
2019-02-11 16:30:00,94.49012151,16.2,83.1
2019-02-11 17:30:00,94.50233584,16.08,82.86
2019-02-11 18:30:00,94.49419295,16.23,82.99
2019-02-11 19:30:00,94.51862163,16.1,83.28
2019-02-11 20:30:00,94.53897886,16.0,82.77
2019-02-12 14:30:00,94.51455018,15.36,81.32
2019-02-12 15:30:00,94.54712175,15.37,80.83
2019-02-12 16:30:00,94.55526464,15.63,81.8
2019-02-12 17:30:00,94.56747898,15.32,80.95
2019-02-12 18:30:00,94.58376477,15.32,81.71
2019-02-12 19:30:00,94.604122,15.36,81.89
2019-02-12 20:30:00,94.6489079,15.46,81.63
2019-02-13 14:30:00,94.4982644,15.85,83.01
2019-02-13 15:30:00,94.50640729,15.51,81.58
2019-02-13 16:30:00,94.44126415,15.7,82.8
2019-02-13 17:30:00,94.45754994,15.61,81.91
2019-02-13 18:30:00,94.3924068,15.42,81.04
2019-02-13 19:30:00,94.45347849,15.38,80.08
2019-02-13 20:30:00,94.40869258,15.67,80.27
2019-02-14 14:30:00,94.49012151,16.49,83.18
2019-02-14 15:30:00,94.51455018,16.41,83.97
2019-02-14 16:30:00,94.4982644,16.03,81.71
2019-02-14 17:30:00,94.52269308,15.92,81.43
2019-02-14 18:30:00,94.50640729,15.75,81.39
2019-02-14 19:30:00,94.51047874,15.81,81.43
2019-02-14 20:30:00,94.51455018,16.26,81.64
2019-02-15 14:30:00,94.62855067,15.56,80.09
2019-02-15 15:30:00,94.61633634,15.1,79.24
2019-02-15 16:30:00,94.58783621,14.81,80.08
2019-02-15 17:30:00,94.57562187,14.98,81.38
2019-02-15 18:30:00,94.57155043,15.02,82.12
2019-02-15 19:30:00,94.604122,14.92,82.3
2019-02-15 20:30:00,94.62855067,14.99,80.45
