Dates,QQQ,VIX,VVIX
2006-03-06,41.09,12.74,71.73
2006-03-15,41.72,11.35,15.71
2006-03-16,41.37,11.98,27.94
2006-03-17,41.45,12.12,28.6
2006-03-20,41.55,11.79,37.93
2006-03-21,41.11,11.62,37.35
2006-04-11,41.92,13.0,69.55
2006-04-24,41.96001,11.75,63.42
2006-04-25,41.87,11.75,61.33
2006-05-01,41.44,12.54,61.96
2006-05-22,38.97,17.71999,91.76
2006-05-23,38.59,18.25999,88.66
2006-05-24,38.85001,17.35999,88.63
2006-05-25,39.36,15.5,82.64
2006-05-26,39.49001,14.26,72.5
2006-05-30,38.64,18.65999,82.14
2006-05-31,38.82001,16.43999,77.44
2006-06-01,39.74001,14.52,74.08
2006-06-02,39.642,14.32,70.27
2006-06-05,38.78,16.64999,77.38
2006-06-06,38.75,17.34,78.66
2006-06-07,38.46001,17.79999,73.86
2006-06-08,38.39999,18.34999,78.12
2006-06-09,38.14999,18.12,79.87
2006-06-12,37.39999,20.95999,83.52
2006-06-13,37.25,23.81,93.2
2006-06-14,37.63,21.45999,102.11
2006-06-15,38.64999,15.9,99.13
2006-06-16,38.34,17.25,106.93
2006-06-19,38.03,17.82999,102.56
2006-06-20,38.08,16.68999,94.76
2006-06-21,38.67999,15.52,92.4
2006-06-22,38.19,15.88,91.85
2006-06-23,38.14999,15.89,86.81
2006-06-26,38.25,15.62,90.71
2006-06-27,37.53,16.39999,95.12
2006-06-28,37.81,15.79,96.44
2006-06-29,38.96001,13.03,96.63
2006-06-30,38.77,13.08,92.1
2006-07-03,39.0,13.05,89.13
2006-07-05,38.14999,14.15,91.98
2006-07-06,38.11,13.65,92.88
2006-07-07,37.69,13.97,91.46
2006-07-10,37.36,14.02,93.52
2006-07-11,37.64,13.14,91.99
2006-07-24,36.41,14.98,99.61
2006-07-25,36.62,14.85,94.97
2006-07-26,36.59,14.62,89.23
2006-07-27,36.35001,14.94,95.29
2006-07-28,37.11,14.33,93.16
2006-07-31,37.10001,14.95,92.79
2006-08-01,36.48,15.05,92.67
2006-08-02,36.89,14.34,91.34
2006-08-03,37.12,14.46,89.24
2006-08-04,36.95,14.34,90.68
2006-08-07,36.71001,15.23,89.58
2006-08-08,36.48,15.23,88.09
2006-08-16,38.58,12.41,57.01
2006-08-21,38.42,12.22,80.68
2006-08-22,38.42999,12.19,78.75
2006-08-23,38.14,12.4,81.15
2006-08-24,38.25,12.4,79.7
2006-08-25,38.32001,12.31,81.94
2006-08-28,38.61,12.18,79.47
2006-08-29,38.73,12.28,81.8
2006-08-30,38.91,12.22,80.77
2006-08-31,38.87,12.31,79.84
2006-09-01,39.08,11.96,77.19
2006-09-05,39.46001,12.63,80.18
2006-09-06,38.67,13.74,82.96
2006-09-07,38.4799,13.88,86.18
2006-09-08,38.72,13.16,83.7
2006-09-11,38.96001,12.99,85.78
2006-09-12,39.67999,11.92,80.99
2006-09-13,39.96001,11.18,81.55
2006-09-14,39.99001,11.55,81.93
2006-09-15,40.11,11.76,59.52
2006-09-18,40.11011,11.78,80.97
2006-09-19,39.85001,11.98,81.77
2006-09-20,40.42999,11.39,80.83
2006-09-21,40.17999,12.25,85.95
2006-09-22,39.87,12.59,85.74
2006-09-25,40.57001,12.12,82.01
2006-09-26,40.77,11.53,81.59
2006-09-27,40.72,11.58,81.08
2006-09-28,40.83,11.72,84.74
2006-09-29,40.64999,11.98,84.31
2006-10-02,40.14,12.57,85.46
2006-10-03,40.31,12.24,86.57
2006-10-04,41.3,11.86,82.5
2006-10-05,41.5,11.98,87.5
2006-10-06,41.41,11.56,85.63
2006-10-09,41.55,11.68,84.76
2006-10-10,41.62,11.52,83.62
2006-10-11,41.53999,11.62,88.4
2006-10-12,42.23,11.09,86.87
2006-10-13,42.42999,10.75,86.61
2006-10-16,42.45,11.09,82.29
2006-10-17,42.0,11.73,66.99
2006-10-18,41.8,11.34,79.1
2006-10-19,41.89999,10.9,77.71
2006-10-20,42.0,10.63,78.6
2006-10-23,42.42999,11.08,84.73
2006-10-24,42.13,10.78,87.39
2006-10-25,42.42999,10.66,85.9
2006-10-26,42.82001,10.56,81.6
2006-10-27,42.21001,10.8,82.71
2006-10-30,42.48,11.2,80.16
2006-10-31,42.58,11.1,76.4
2006-11-01,42.0,11.51,78.89
2006-11-02,42.03999,11.42,77.08
2006-11-03,41.92999,11.16,75.19
2006-11-06,42.53999,11.16,70.46
2006-11-07,42.83,11.09,67.5
2006-11-08,43.03,10.75,62.08
2006-11-09,42.8,11.01,60.42
2006-11-10,43.03,10.79,61.06
2006-11-13,43.46001,10.86,36.14
2006-11-14,43.92999,10.5,60.77
2006-11-15,44.11,10.31,58.58
2006-11-16,44.3,10.16,62.48
2006-11-17,44.3,10.05,64.3
2006-11-20,44.39,9.97,65.98
2006-11-21,44.45,9.9,65.3
2006-11-22,44.73,10.14,63.62
2006-11-24,44.64999,10.73,66.48
2006-11-27,43.66,12.3,71.6
2006-11-28,43.77,11.62,66.56
2006-11-29,44.07001,10.83,60.3
2006-11-30,44.03999,10.91,61.39
2006-12-01,43.66,11.66,62.33
2006-12-04,44.25999,11.23,62.11
2006-12-05,44.42,11.27,65.87
2006-12-06,44.25999,11.33,66.49
2006-12-07,43.7,12.67,68.65
2006-12-08,43.89999,12.07,71.34
2006-12-11,44.06,10.71,72.84
2006-12-12,43.8,10.65,74.78
2006-12-13,43.88,10.18,79.06
2006-12-14,44.37,9.97,82.57
2006-12-15,44.42999,10.05,84.63
2006-12-18,43.99001,10.6,84.26
2006-12-19,43.85001,10.3,78.91
2006-12-20,43.69,10.26,84.68
2006-12-21,43.38,10.53,83.94
2006-12-22,42.92999,11.36,83.41
2006-12-26,43.11,11.26,85.28
2006-12-27,43.33,10.64,83.01
2006-12-28,43.12,10.99,88.72
2006-12-29,43.16,11.56,88.16
2007-01-03,43.24001,12.04,87.63
2007-01-04,44.06,11.51,88.19
2007-01-05,43.85001,12.14,90.17
2007-01-08,43.88,12.0,92.04
2007-01-09,44.10001,11.91,92.76
2007-01-10,44.62,11.47,93.78
2007-01-11,45.08,10.87,85.97
2007-01-12,45.31,10.15,85.18
2007-01-16,45.28,10.74,85.3
2007-01-17,44.91,10.59,84.93
2007-01-18,44.08,10.85,83.66
2007-01-19,44.17,10.4,82.49
2007-01-22,43.69,10.77,84.43
2007-01-23,43.58,10.34,81.48
2007-01-24,44.3,9.89,77.51
2007-01-25,43.73,11.22,80.45
2007-01-26,43.57001,11.13,81.36
2007-01-29,43.61,11.45,81.68
2007-01-30,43.63,10.96,78.9
2007-01-31,44.07001,10.42,77.28
2007-02-01,44.02,10.31,73.5
2007-02-02,44.16,10.08,72.44
2007-02-05,44.12,10.55,70.29
2007-02-06,44.05,10.65,68.55
2007-02-07,44.46001,10.32,70.32
2007-02-08,44.45,10.44,73.18
2007-02-09,43.84,11.1,74.39
2007-02-12,43.7,11.61,79.12
2007-02-13,43.86,10.34,75.72
2007-02-14,44.60001,10.23,74.0
2007-02-15,44.86,10.22,70.34
2007-02-16,44.71001,10.02,70.74
2007-02-20,45.05,10.24,65.87
2007-02-21,45.19,10.2,67.37
2007-02-22,45.42,10.18,66.05
2007-02-23,45.25999,10.58,70.71
2007-02-26,45.03999,11.15,70.33
2007-02-27,43.19,18.31,110.42
2007-02-28,43.33,15.42,91.64
2007-03-01,43.13,15.82,99.47
2007-03-02,42.48,18.60999,104.17
2007-03-05,42.14999,19.62999,101.2
2007-03-06,42.85001,15.96,93.65
2007-03-07,42.67999,15.24,94.41
2007-03-08,42.97,14.29,93.97
2007-03-09,42.92999,14.09,91.82
2007-03-12,43.21001,13.99,90.02
2007-03-13,42.37,18.12999,94.53
2007-03-14,42.99001,17.26999,98.08
2007-03-15,42.89,16.42999,99.55
2007-03-16,42.83,16.78999,102.74
2007-03-19,43.27,14.59,93.9
2007-03-20,43.58,13.27,89.55
2007-03-21,44.42,12.19,94.13
2007-03-22,44.25999,12.93,95.52
2007-03-23,44.12,12.95,96.37
2007-03-26,44.3,13.16,95.95
2007-03-27,43.99001,13.48,101.0
2007-03-28,43.52,14.98,104.79
2007-03-29,43.57001,15.14,102.31
2007-03-30,43.53,14.64,99.78
2007-04-02,43.59,14.53,98.92
2007-04-03,44.16,13.46,94.98
2007-04-04,44.34,13.24,96.12
2007-04-05,44.56,13.23,93.6
2007-04-09,44.45,13.14,92.3
2007-04-10,44.67999,12.68,87.37
2007-04-11,44.21001,13.49,93.47
2007-04-12,44.56,12.71,91.38
2007-04-13,44.64999,12.2,88.71
2007-04-16,45.06,11.98,83.98
