Dates,QYLD,VIX,VVIX
2022-01-03 14:30:00,15.08739088,17.86,111.38
2022-01-03 15:00:00,15.12135619,17.37,108.81
2022-01-03 15:30:00,15.12475272,17.42,108.94
2022-01-03 16:00:00,15.11456313,17.88,109.48
2022-01-03 16:30:00,15.10777007,17.32,109.62
2022-01-03 17:00:00,15.11795966,17.3,108.96
2022-01-03 17:30:00,15.12814925,17.25,108.83
2022-01-03 18:00:00,15.12475272,17.14,108.56
2022-01-03 18:30:00,15.13154578,16.95,108.12
2022-01-03 19:00:00,15.13154578,16.95,108.11
2022-01-03 19:30:00,15.13154578,16.94,108.33
2022-01-03 20:00:00,15.13154578,16.92,108.32
2022-01-03 20:30:00,15.14173538,16.56,107.85
2022-01-04 14:30:00,15.12814925,16.93,109.0
2022-01-04 15:00:00,15.12135619,17.0,109.51
2022-01-04 15:30:00,15.08399435,17.58,111.63
2022-01-04 16:00:00,15.06361516,17.26,112.72
2022-01-04 16:30:00,15.08059782,17.29,111.35
2022-01-04 17:00:00,15.08399435,16.91,109.37
2022-01-04 17:30:00,15.07380476,17.02,109.71
2022-01-04 18:00:00,15.07720129,17.28,109.3
2022-01-04 18:30:00,15.06021863,17.36,111.38
2022-01-04 19:00:00,15.06701169,17.03,110.18
2022-01-04 19:30:00,15.09078741,16.68,108.63
2022-01-04 20:00:00,15.10437354,16.66,107.31
2022-01-04 20:30:00,15.09418394,16.89,108.15
2022-01-05 14:30:00,15.08059782,17.01,109.01
2022-01-05 15:00:00,15.08739088,16.92,107.42
2022-01-05 15:30:00,15.07380476,17.09,108.24
2022-01-05 16:00:00,15.07040822,16.97,109.06
2022-01-05 16:30:00,15.0568221,17.07,109.51
2022-01-05 17:00:00,15.06361516,17.07,108.6
2022-01-05 17:30:00,15.02625332,17.4,109.94
2022-01-05 18:00:00,15.03644291,17.27,110.17
2022-01-05 18:30:00,15.02964985,17.65,110.41
2022-01-05 19:00:00,14.98889148,18.54,114.06
2022-01-05 19:30:00,14.95492617,19.05,116.48
2022-01-05 20:00:00,14.92096086,19.1,118.41
2022-01-05 20:30:00,14.87680596,19.9,120.18
2022-01-06 14:30:00,14.83604758,20.71,120.09
2022-01-06 15:00:00,14.87340942,19.59,118.57
2022-01-06 15:30:00,14.92435739,19.59,116.87
2022-01-06 16:00:00,14.90737473,19.79,117.31
2022-01-06 16:30:00,14.92435739,19.35,116.78
2022-01-06 17:00:00,14.92096086,19.35,116.66
2022-01-06 17:30:00,14.92096086,19.35,117.14
2022-01-06 18:00:00,14.89378861,19.84,118.12
2022-01-06 18:30:00,14.91077127,19.78,117.15
2022-01-06 19:00:00,14.90737473,19.7,117.61
2022-01-06 19:30:00,14.92435739,19.41,116.37
2022-01-06 20:00:00,14.9039782,19.91,117.43
2022-01-06 20:30:00,14.88359902,19.7,117.71
2022-01-07 14:30:00,14.92435739,19.62,115.02
2022-01-07 15:00:00,14.84284064,19.99,117.12
2022-01-07 15:30:00,14.77151349,20.3,119.48
2022-01-07 16:00:00,14.80887533,19.89,116.91
2022-01-07 16:30:00,14.83944411,19.59,114.92
2022-01-07 17:00:00,14.82925452,19.74,115.77
2022-01-07 17:30:00,14.83944411,19.24,114.91
2022-01-07 18:00:00,14.82925452,19.21,114.85
2022-01-07 18:30:00,14.82246146,19.22,114.41
2022-01-07 19:00:00,14.79868574,19.11,114.5
2022-01-07 19:30:00,14.84623718,18.74,114.03
2022-01-07 20:00:00,14.82585799,18.79,114.34
2022-01-07 20:30:00,14.80887533,18.71,113.2
2022-01-10 14:30:00,14.55073898,22.16,124.88
2022-01-10 15:00:00,14.5201702,22.83,125.71
2022-01-10 15:30:00,14.47601529,22.52,126.53
2022-01-10 16:00:00,14.61527307,22.3,123.12
2022-01-10 16:30:00,14.59149735,22.37,123.27
2022-01-10 17:00:00,14.53035979,22.45,124.16
2022-01-10 17:30:00,14.57791122,21.96,123.42
2022-01-10 18:00:00,14.64584184,21.67,120.99
2022-01-10 18:30:00,14.68660022,20.6,119.09
2022-01-10 19:00:00,14.74434124,20.54,116.77
2022-01-10 19:30:00,14.73075512,20.88,116.9
2022-01-10 20:00:00,14.74434124,20.29,116.43
2022-01-10 20:30:00,14.84284064,19.33,112.48
2022-01-11 14:30:00,14.79528921,20.11,117.7
2022-01-11 15:00:00,14.83604758,20.26,115.97
2022-01-11 15:30:00,14.78509962,19.8,116.16
2022-01-11 16:00:00,14.93454698,18.98,112.68
2022-01-11 16:30:00,14.96511576,18.92,111.76
2022-01-11 17:00:00,14.93115045,18.91,112.13
2022-01-11 17:30:00,14.95152964,18.8,110.86
2022-01-11 18:00:00,14.96511576,18.42,111.19
2022-01-11 18:30:00,14.96511576,18.71,112.92
2022-01-11 19:00:00,14.96171923,18.43,112.99
2022-01-11 19:30:00,14.97870189,18.39,112.81
2022-01-11 20:00:00,14.97190882,18.54,112.0
2022-01-11 20:30:00,14.97870189,18.37,111.49
2022-01-12 14:30:00,15.05342557,17.38,113.29
2022-01-12 15:00:00,15.06021863,18.09,113.87
2022-01-12 15:30:00,15.00927067,18.3,115.55
2022-01-12 16:00:00,15.00927067,18.03,116.05
2022-01-12 16:30:00,15.02625332,18.17,116.02
2022-01-12 17:00:00,15.03304638,18.03,116.39
2022-01-12 17:30:00,15.05342557,17.93,115.74
2022-01-12 18:00:00,15.03304638,18.18,117.59
2022-01-12 18:30:00,15.02285679,18.26,116.83
2022-01-12 19:00:00,15.04323598,17.98,115.87
2022-01-12 19:30:00,15.03644291,18.19,116.21
2022-01-12 20:00:00,15.02285679,17.94,116.06
2022-01-12 20:30:00,15.03304638,17.64,114.87
2022-01-13 14:30:00,15.06701169,17.79,112.97
2022-01-13 15:00:00,15.02625332,18.17,115.06
2022-01-13 15:30:00,14.96851229,18.17,116.2
2022-01-13 16:00:00,14.99228801,17.79,115.54
2022-01-13 16:30:00,15.00587413,17.97,114.98
2022-01-13 17:00:00,14.89039208,18.78,119.1
2022-01-13 17:30:00,14.89039208,18.75,119.03
2022-01-13 18:00:00,14.9141678,18.75,117.52
2022-01-13 18:30:00,14.92096086,18.42,116.33
2022-01-13 19:00:00,14.88359902,19.03,118.25
2022-01-13 19:30:00,14.87001289,19.44,118.51
2022-01-13 20:00:00,14.82925452,20.06,119.11
2022-01-13 20:30:00,14.75453084,20.39,122.87
2022-01-14 14:30:00,14.83604758,20.45,124.6
2022-01-14 15:00:00,14.78849615,20.98,124.92
2022-01-14 15:30:00,14.77491002,21.18,124.9
2022-01-14 16:00:00,14.74773778,20.84,125.73
2022-01-14 16:30:00,14.82246146,20.39,121.61
2022-01-14 17:00:00,14.79528921,20.34,121.51
2022-01-14 17:30:00,14.73415165,21.13,123.66
2022-01-14 18:00:00,14.72056553,21.11,123.86
2022-01-14 18:30:00,14.80208227,20.49,121.93
2022-01-14 19:00:00,14.76811696,20.27,121.93
2022-01-14 19:30:00,14.79528921,20.35,120.48
2022-01-14 20:00:00,14.84963371,19.37,118.16
2022-01-14 20:30:00,14.87680596,19.22,117.14
2022-01-18 14:30:00,14.65603144,21.99,125.65
2022-01-18 15:00:00,14.72735859,22.23,124.63
2022-01-18 15:30:00,14.63904878,22.52,125.17
2022-01-18 16:00:00,14.61527307,22.17,124.62
2022-01-18 16:30:00,14.66622103,22.36,124.12
2022-01-18 17:00:00,14.61527307,22.67,126.47
2022-01-18 17:30:00,14.58810082,22.85,126.79
2022-01-18 18:00:00,14.57111816,22.51,126.13
2022-01-18 18:30:00,14.59829041,22.29,124.99
2022-01-18 19:00:00,14.58810082,22.0,125.79
2022-01-18 19:30:00,14.63904878,22.12,125.34
2022-01-18 20:00:00,14.57451469,22.7,127.33
2022-01-18 20:30:00,14.53035979,22.88,128.1
2022-01-19 14:30:00,14.67980716,22.58,124.02
2022-01-19 15:00:00,14.61187653,23.17,127.26
2022-01-19 15:30:00,14.50658407,23.47,127.97
2022-01-19 16:00:00,14.47261876,23.8,129.84
2022-01-19 16:30:00,14.53035979,22.72,128.3
2022-01-19 17:00:00,14.61187653,22.56,126.47
2022-01-19 17:30:00,14.62546266,22.41,125.93
2022-01-19 18:00:00,14.60508347,22.65,125.99
2022-01-19 18:30:00,14.57791122,22.95,124.66
2022-01-19 19:00:00,14.49979101,23.15,127.52
2022-01-19 19:30:00,14.53375632,22.91,126.37
2022-01-19 20:00:00,14.47601529,23.36,127.61
2022-01-19 20:30:00,14.37072283,23.86,130.23
2022-01-20 14:30:00,14.59149735,22.06,124.58
2022-01-20 15:00:00,14.59149735,22.09,124.13
2022-01-20 15:30:00,14.63904878,21.74,123.04
2022-01-20 16:00:00,14.61187653,21.81,123.02
2022-01-20 16:30:00,14.62546266,22.08,123.03
2022-01-20 17:00:00,14.60848,22.0,123.38
2022-01-20 17:30:00,14.58130775,22.38,123.55
2022-01-20 18:00:00,14.55073898,22.2,123.71
2022-01-20 18:30:00,14.5201702,22.07,123.13
2022-01-20 19:00:00,14.47601529,22.93,124.44
2022-01-20 19:30:00,14.43186039,23.52,125.23
2022-01-20 20:00:00,14.31637833,24.38,130.21
2022-01-20 20:30:00,14.19070669,25.75,135.13
2022-01-21 14:30:00,14.00050095,27.63,140.06
2022-01-21 15:00:00,14.00050095,26.99,145.06
2022-01-21 15:30:00,14.10918994,26.47,143.06
2022-01-21 16:00:00,14.18391362,26.59,139.47
2022-01-21 16:30:00,14.06163851,26.46,142.61
2022-01-21 17:00:00,14.0276732,27.02,143.35
2022-01-21 17:30:00,14.01408707,27.0,144.08
2022-01-21 18:00:00,13.98012176,27.15,144.95
2022-01-21 18:30:00,13.98012176,27.45,145.12
2022-01-21 19:00:00,13.95974257,27.48,145.87
2022-01-21 19:30:00,13.93596686,29.08,146.9
2022-01-21 20:00:00,13.89860502,29.59,150.05
2022-01-21 20:30:00,13.85784664,29.07,151.57
2022-01-24 14:30:00,13.62984905,37.0,166.37
2022-01-24 15:00:00,13.61269595,34.57,167.09
2022-01-24 15:30:00,13.63327966,34.16,160.34
2022-01-24 16:00:00,13.58868162,35.73,161.5
2022-01-24 16:30:00,13.50977738,37.07,165.43
2022-01-24 17:00:00,13.39999758,38.04,170.78
2022-01-24 17:30:00,13.50291614,35.77,170.17
2022-01-24 18:00:00,13.56466729,34.95,167.28
2022-01-24 18:30:00,13.69846142,32.72,161.45
2022-01-24 19:00:00,13.63327966,34.81,163.1
2022-01-24 19:30:00,13.68473895,33.08,162.47
2022-01-24 20:00:00,13.77050442,30.92,159.98
2022-01-24 20:30:00,13.92831289,30.12,154.45
2022-01-25 14:30:00,13.6401409,35.39,161.93
2022-01-25 15:00:00,13.72933699,33.69,159.62
2022-01-25 15:30:00,13.67444709,33.72,160.95
2022-01-25 16:00:00,13.68130833,33.5,157.07
2022-01-25 16:30:00,13.62298781,32.31,158.34
2022-01-25 17:00:00,13.68130833,32.3,155.6
2022-01-25 17:30:00,13.66072462,32.19,155.95
2022-01-25 18:00:00,13.72933699,30.35,151.0
2022-01-25 18:30:00,13.80481061,30.22,148.97
2022-01-25 19:00:00,13.83225556,29.75,147.78
2022-01-25 19:30:00,13.88028423,30.13,147.34
2022-01-25 20:00:00,13.74649009,30.82,151.56
2022-01-25 20:30:00,13.70875328,31.22,149.83
2022-01-26 14:30:00,13.90086794,28.28,143.63
2022-01-26 15:00:00,13.85970051,29.72,145.37
2022-01-26 15:30:00,13.85970051,29.43,146.2
2022-01-26 16:00:00,13.90429856,28.65,144.92
2022-01-26 16:30:00,13.91459042,28.25,143.03
2022-01-26 17:00:00,13.94889661,27.7,141.34
2022-01-26 17:30:00,13.96948032,28.24,141.0
2022-01-26 18:00:00,13.93517413,28.38,142.13
2022-01-26 18:30:00,13.94889661,27.47,142.04
2022-01-26 19:00:00,13.96261908,27.57,140.58
2022-01-26 19:30:00,13.81167185,32.14,147.03
2022-01-26 20:00:00,13.74305947,31.59,150.38
2022-01-26 20:30:00,13.74305947,31.51,149.42
2022-01-27 14:30:00,13.87342299,28.6,138.67
2022-01-27 15:00:00,13.85970051,30.58,140.89
2022-01-27 15:30:00,13.85283928,29.8,139.17
2022-01-27 16:00:00,13.85970051,30.18,140.88
2022-01-27 16:30:00,13.85283928,30.84,139.69
2022-01-27 17:00:00,13.75335133,31.94,142.07
2022-01-27 17:30:00,13.73619823,32.19,142.59
2022-01-27 18:00:00,13.62984905,32.88,145.3
2022-01-27 18:30:00,13.68130833,31.35,144.26
2022-01-27 19:00:00,13.6401409,32.1,144.93
2022-01-27 19:30:00,13.64700214,31.59,144.86
2022-01-27 20:00:00,13.6401409,31.54,143.95
2022-01-27 20:30:00,13.62641843,30.58,142.42
2022-01-28 14:30:00,13.55780605,31.59,144.72
2022-01-28 15:00:00,13.62298781,31.25,141.34
2022-01-28 15:30:00,13.75335133,30.44,138.99
2022-01-28 16:00:00,13.80481061,29.64,138.69
2022-01-28 16:30:00,13.85970051,29.13,136.13
2022-01-28 17:00:00,13.81853309,29.8,136.1
2022-01-28 17:30:00,13.79794937,29.5,137.6
2022-01-28 18:00:00,13.79794937,29.39,136.82
2022-01-28 18:30:00,13.8391168,29.72,136.07
2022-01-28 19:00:00,13.72247576,30.75,138.84
2022-01-28 19:30:00,13.81853309,28.88,136.49
2022-01-28 20:00:00,13.85970051,28.18,135.07
2022-01-28 20:30:00,13.97634156,27.51,132.42
2022-01-31 14:30:00,14.08612136,27.2,131.88
2022-01-31 15:00:00,14.09984384,27.1,130.27
2022-01-31 15:30:00,14.12728879,26.66,129.49
2022-01-31 16:00:00,14.13415003,26.46,129.67
2022-01-31 16:30:00,14.18217869,26.02,128.21
2022-01-31 17:00:00,14.16845622,25.71,127.72
2022-01-31 17:30:00,14.18217869,25.33,126.8
2022-01-31 18:00:00,14.16845622,25.5,126.64
2022-01-31 18:30:00,14.17531746,25.3,126.73
2022-01-31 19:00:00,14.20276241,25.11,125.72
2022-01-31 19:30:00,14.19933179,25.12,125.37
2022-01-31 20:00:00,14.18903993,25.22,126.63
2022-01-31 20:30:00,14.2370686,24.83,125.46
2022-02-01 14:30:00,14.23020736,24.91,124.18
2022-02-01 15:00:00,14.21648488,24.35,125.46
2022-02-01 15:30:00,14.24392984,23.75,125.24
2022-02-01 16:00:00,14.26108293,23.74,124.56
2022-02-01 16:30:00,14.27823602,23.63,124.07
2022-02-01 17:00:00,14.26451355,23.94,123.84
2022-02-01 17:30:00,14.27480541,23.78,123.38
2022-02-01 18:00:00,14.27823602,23.49,123.46
2022-02-01 18:30:00,14.26451355,23.43,123.14
2022-02-01 19:00:00,14.25422169,23.58,123.38
2022-02-01 19:30:00,14.26108293,22.8,123.01
2022-02-01 20:00:00,14.29881974,22.66,120.89
2022-02-01 20:30:00,14.31940345,22.05,118.91
2022-02-02 14:30:00,14.33998717,21.82,118.02
2022-02-02 15:00:00,14.33312593,22.13,118.85
2022-02-02 15:30:00,14.33312593,22.46,117.98
2022-02-02 16:00:00,14.3091116,22.53,119.17
2022-02-02 16:30:00,14.32626469,21.62,118.03
