Dates,QYLD,VIX,VVIX
2013-12-12,7.44457158,15.54,83.38
2013-12-13,7.43862544,15.76,85.39
2013-12-16,7.44754465,16.03,83.2
2013-12-17,7.4534908,16.21,82.23
2013-12-18,7.44159851,13.8,67.17
2013-12-19,7.45051773,14.15,67.03
2013-12-20,7.53970988,13.79,68.0
2013-12-23,7.58133288,13.04,63.49
2013-12-26,7.5697379,12.33,62.71
2013-12-27,7.58103557,12.46,66.67
2013-12-30,7.57241367,13.56,69.71
2013-12-31,7.59322517,13.72,70.83
2014-01-02,7.56349445,14.23,73.14
2014-01-03,7.55754831,13.76,70.03
2014-01-06,7.54862909,13.55,68.33
2014-01-10,7.57835981,12.14,67.74
2014-01-13,7.56349445,13.28,75.71
2014-01-14,7.61403667,12.28,69.31
2014-01-15,7.6318751,12.28,69.56
2014-01-16,7.64079432,12.53,73.98
2014-01-17,7.64376739,12.44,75.72
2014-01-21,7.64644315,12.87,77.78
2014-01-22,7.66698458,12.84,74.46
2014-01-23,7.63545174,13.77,78.25
2014-01-24,7.59791265,18.14,97.71
2014-01-27,7.52884072,17.42,93.5
2014-01-28,7.48559568,15.8,83.96
2014-01-29,7.46577504,17.35,92.47
2014-01-30,7.56187512,17.29,92.35
2014-01-31,7.54685948,18.41,99.66
2014-02-03,7.38469059,21.44,106.78
2014-02-04,7.44964824,19.11,100.4
2014-02-05,7.43274063,19.95,102.87
2014-02-06,7.52283446,17.23,92.58
2014-02-07,7.57298669,15.29,83.17
2014-02-10,7.64596269,15.26,79.89
2014-02-11,7.71803775,14.51,78.64
2014-02-12,7.724044,14.3,79.56
2014-02-13,7.72104088,14.14,78.41
2014-02-14,7.74206277,13.57,77.49
2014-02-18,7.73305339,13.87,75.82
2014-02-19,7.75407528,15.5,86.23
2014-02-20,7.74806902,14.79,79.83
2014-02-21,7.75557684,14.68,78.96
2014-02-24,7.75347465,14.23,77.84
2014-02-25,7.73902961,13.67,76.46
2014-02-26,7.72797781,14.35,79.42
2014-02-27,7.76698064,14.04,78.94
2014-02-28,7.8066189,14.0,81.45
2014-03-03,7.73702501,16.0,92.84
2014-03-04,7.79451562,14.1,82.14
2014-03-05,7.80056726,13.89,80.52
2014-03-06,7.81569636,14.21,79.55
2014-03-07,7.84292876,14.11,83.07
2014-03-10,7.80056726,14.2,82.35
2014-03-11,7.79754144,14.8,85.12
2014-03-12,7.80991705,14.47,83.45
2014-03-13,7.74610248,16.22,92.14
2014-03-14,7.73460435,17.82,97.11
2014-03-17,7.79145954,15.64,87.79
2014-03-18,7.85200622,14.52,81.89
2014-03-19,7.82779965,15.12,81.35
2014-03-20,7.83082547,14.52,77.03
2014-03-21,7.78241233,15.0,78.64
2014-03-24,7.71584426,15.09,77.29
2014-03-25,7.71278818,14.02,74.77
2014-03-26,7.6498028,14.93,76.27
2014-03-27,7.62239268,14.62,74.71
2014-03-28,7.65288225,14.41,74.86
2014-03-31,7.68032286,13.88,72.2
2014-04-01,7.73825305,13.1,67.51
2014-04-02,7.78978042,13.09,67.33
2014-04-03,7.73825305,13.37,67.73
2014-04-04,7.60379404,13.96,69.53
2014-04-07,7.46384691,15.57,74.51
2014-04-08,7.57665832,14.89,71.43
2014-04-09,7.68946973,13.82,69.19
2014-04-10,7.49430599,15.89,78.56
2014-04-11,7.46082844,17.03,83.94
2014-04-14,7.4150636,16.11,82.2
2014-04-15,7.44555317,15.61,80.67
2014-04-16,7.50958126,14.18,72.08
2014-04-17,7.54311979,13.36,70.08
2014-04-21,7.58885415,13.25,68.62
2014-04-22,7.61934372,13.19,66.74
2014-04-23,7.59546345,13.27,66.22
2014-04-24,7.62935801,13.32,68.75
2014-04-25,7.59546345,14.06,70.49
2014-04-28,7.58917755,13.97,67.63
2014-04-29,7.63243933,13.71,65.47
2014-04-30,7.62325699,13.41,64.49
2014-05-01,7.69098449,13.25,64.5
2014-05-02,7.63860198,12.91,64.54
2014-05-06,7.64781514,13.8,64.93
2014-05-07,7.62627669,13.4,62.64
2014-05-08,7.66017125,13.43,62.16
2014-05-09,7.63243933,12.92,61.76
2014-05-14,7.69409662,12.17,69.03
2014-05-15,7.69714714,13.17,71.6
2014-05-16,7.70944162,12.44,68.72
2014-05-19,7.79571869,12.42,67.58
2014-05-20,7.77726156,12.96,68.77
2014-05-21,7.77866168,11.91,66.56
2014-05-22,7.794219,12.03,68.06
2014-05-23,7.8035534,11.36,66.86
2014-05-27,7.8035534,11.51,64.95
2014-05-28,7.81537696,11.68,67.37
2014-05-29,7.81288779,11.57,66.93
2014-05-30,7.80044193,11.4,67.95
2014-06-02,7.82533365,11.58,68.76
2014-06-03,7.82533365,11.87,68.19
2014-06-04,7.82533365,12.08,67.67
2014-06-05,7.83784174,11.68,65.47
2014-06-06,7.84023756,10.73,67.08
2014-06-09,7.82844511,11.15,70.88
2014-06-10,7.84089097,10.99,70.5
2014-06-11,7.83510365,11.6,74.21
2014-06-12,7.84400244,12.56,79.97
2014-06-13,7.84400244,12.18,79.81
2014-06-16,7.83777951,12.65,81.5
2014-06-17,7.83777951,12.06,78.41
2014-06-18,7.83777951,10.61,71.76
2014-06-19,7.83466804,10.62,73.41
2014-06-20,7.83466804,10.85,73.33
2014-06-23,7.82533365,10.98,72.58
2014-06-24,7.82844511,12.13,75.24
2014-06-25,7.85119541,11.59,72.31
2014-06-26,7.87629915,11.63,72.86
2014-06-27,7.87626777,11.26,72.72
2014-06-30,7.89512696,11.57,71.56
2014-07-01,7.91144439,11.15,69.28
2014-07-02,7.904635,10.82,68.15
2014-07-03,8.0175077,10.32,68.35
2014-07-07,7.96416225,11.33,71.66
2014-07-08,7.89826493,11.98,73.21
2014-07-09,7.90579605,11.65,76.28
2014-07-10,7.9108168,12.59,82.14
2014-07-11,7.91709274,12.08,79.91
2014-07-14,7.9202307,11.82,77.29
2014-07-15,7.90454086,11.96,78.92
2014-07-16,7.91709274,11.0,75.81
2014-07-17,7.90454086,14.54,89.96
2014-07-18,7.94533445,12.06,80.37
2014-07-21,7.96102428,12.81,81.41
2014-07-22,7.97982071,12.24,75.22
2014-07-23,7.99860709,11.52,76.64
2014-07-24,7.98914667,11.84,77.66
2014-07-25,7.96383452,12.69,81.08
2014-07-28,7.97965462,12.56,81.21
2014-07-29,7.98281863,13.28,81.72
2014-07-30,7.97918001,13.33,83.58
2014-07-31,7.90207288,16.95,97.42
2014-08-01,7.8910621,17.03,101.11
2014-08-04,7.9258663,15.12,93.12
