Dates,QYLD,VIX,VVIX
2019-01-02 15:30:00,10.21051316,25.65,85.77
2019-01-02 17:30:00,10.2345266,24.16,84.36
2019-01-02 19:30:00,10.25373734,24.24,83.67
2019-01-02 20:30:00,10.22011853,23.16,81.66
2019-01-03 14:30:00,10.13367016,25.25,84.97
2019-01-03 15:30:00,10.14807822,25.84,84.58
2019-01-03 16:30:00,10.21531585,24.96,83.52
2019-01-03 19:30:00,10.14807822,25.28,83.67
2019-01-03 20:30:00,10.09524866,25.26,83.8
2019-01-04 14:30:00,10.27775078,22.86,81.02
2019-01-04 15:30:00,10.29215884,22.45,80.89
2019-01-04 17:30:00,10.32577765,22.32,81.86
2019-01-04 18:30:00,10.34018572,22.58,82.11
2019-01-04 20:30:00,10.29696153,21.39,84.44
2019-01-07 19:30:00,10.35459378,21.22,82.68
2019-01-07 20:30:00,10.35459378,21.27,82.74
2019-01-08 16:30:00,10.3834099,21.01,83.7
2019-01-08 18:30:00,10.39781796,20.51,83.13
2019-01-08 19:30:00,10.39781796,20.5,82.47
2019-01-09 14:30:00,10.4218314,20.05,84.93
2019-01-09 20:30:00,10.4218314,19.86,86.62
2019-01-10 14:30:00,10.4218314,20.91,88.37
2019-01-11 14:30:00,10.44584484,19.5,87.6
2019-01-11 15:30:00,10.44104215,19.42,86.31
2019-01-11 17:30:00,10.45545021,18.71,85.95
2019-01-11 20:30:00,10.47466096,18.16,83.85
2019-01-14 14:30:00,10.4602529,19.33,84.49
2019-01-14 15:30:00,10.43623946,19.37,82.86
2019-01-14 16:30:00,10.44344349,19.34,81.98
2019-01-14 19:30:00,10.44584484,18.77,82.9
2019-01-15 14:30:00,10.44584484,18.53,82.26
2019-01-15 17:30:00,10.4602529,18.1,80.43
2019-01-15 20:30:00,10.46505558,18.38,81.39
2019-01-16 15:30:00,10.45545021,18.82,81.29
2019-01-16 16:30:00,10.44584484,18.66,81.46
2019-01-16 18:30:00,10.44104215,18.28,81.08
2019-01-16 19:30:00,10.43623946,18.43,81.24
2019-01-17 16:30:00,10.46985827,18.64,82.37
2019-01-17 17:30:00,10.46985827,18.39,82.29
2019-01-17 19:30:00,10.46985827,18.17,81.86
2019-01-17 20:30:00,10.4602529,18.2,82.79
2019-01-18 14:30:00,10.4602529,17.91,81.03
2019-01-18 16:30:00,10.55150396,17.27,79.5
2019-01-18 19:30:00,10.53229321,18.18,82.51
2019-01-18 20:30:00,10.52268783,17.88,82.49
