Dates,TLT,VIX,VVIX
2022-01-03 14:30:00,131.83541281,17.86,111.38
2022-01-03 15:00:00,131.9164924,17.37,108.81
2022-01-03 15:30:00,131.73631554,17.42,108.94
2022-01-03 16:00:00,131.23182031,17.88,109.48
2022-01-03 16:30:00,131.0426346,17.32,109.62
2022-01-03 17:00:00,130.99759039,17.3,108.96
2022-01-03 17:30:00,130.88047542,17.25,108.83
2022-01-03 18:00:00,130.63723666,17.14,108.56
2022-01-03 18:30:00,130.5831836,16.95,108.12
2022-01-03 19:00:00,130.60120128,16.95,108.11
2022-01-03 19:30:00,130.69128972,16.94,108.33
2022-01-03 20:00:00,130.70029856,16.92,108.32
2022-01-03 20:30:00,130.01562647,16.56,107.85
2022-01-04 14:30:00,129.61923736,16.93,109.0
2022-01-04 15:00:00,129.41203397,17.0,109.51
2022-01-04 15:30:00,128.92555643,17.58,111.63
2022-01-04 16:00:00,128.78141494,17.26,112.72
2022-01-04 16:30:00,128.88952106,17.29,111.35
2022-01-04 17:00:00,128.87150337,16.91,109.37
2022-01-04 17:30:00,128.91654759,17.02,109.71
2022-01-04 18:00:00,129.05168024,17.28,109.3
2022-01-04 18:30:00,129.19582173,17.36,111.38
2022-01-04 19:00:00,129.13275982,17.03,110.18
2022-01-04 19:30:00,129.15978635,16.68,108.63
2022-01-04 20:00:00,129.24086594,16.66,107.31
2022-01-04 20:30:00,129.44806934,16.89,108.15
2022-01-05 14:30:00,129.63725505,17.01,109.01
2022-01-05 15:00:00,129.79941423,16.92,107.42
2022-01-05 15:30:00,129.5651843,17.09,108.24
2022-01-05 16:00:00,129.30392785,16.97,109.06
2022-01-05 16:30:00,129.06068908,17.07,109.51
2022-01-05 17:00:00,128.86249453,17.07,108.6
2022-01-05 17:30:00,129.00663602,17.4,109.94
2022-01-05 18:00:00,129.03366255,17.27,110.17
2022-01-05 18:30:00,128.85348568,17.65,110.41
2022-01-05 19:00:00,129.04267139,18.54,114.06
2022-01-05 19:30:00,128.95258296,19.05,116.48
2022-01-05 20:00:00,128.79042378,19.1,118.41
2022-01-05 20:30:00,128.79943262,19.9,120.18
2022-01-06 14:30:00,128.33097277,20.71,120.09
2022-01-06 15:00:00,128.53817617,19.59,118.57
2022-01-06 15:30:00,128.36700814,19.59,116.87
2022-01-06 16:00:00,128.48412311,19.79,117.31
2022-01-06 16:30:00,128.2318755,19.35,116.78
2022-01-06 17:00:00,128.52916732,19.35,116.66
2022-01-06 17:30:00,128.79042378,19.35,117.14
2022-01-06 18:00:00,128.88952106,19.84,118.12
2022-01-06 18:30:00,128.84898126,19.78,117.15
2022-01-06 19:00:00,128.99762718,19.7,117.61
2022-01-06 19:30:00,128.88952106,19.41,116.37
2022-01-06 20:00:00,128.9615918,19.91,117.43
2022-01-06 20:30:00,129.10573329,19.7,117.71
2022-01-07 14:30:00,128.46610542,19.62,115.02
2022-01-07 15:00:00,128.34899046,19.99,117.12
2022-01-07 15:30:00,127.88053061,20.3,119.48
2022-01-07 16:00:00,127.64630068,19.89,116.91
2022-01-07 16:30:00,127.89854829,19.59,114.92
2022-01-07 17:00:00,127.91656598,19.74,115.77
2022-01-07 17:30:00,128.18683128,19.24,114.91
2022-01-07 18:00:00,128.4210612,19.21,114.85
2022-01-07 18:30:00,128.4210612,19.22,114.41
2022-01-07 19:00:00,128.20484897,19.11,114.5
2022-01-07 19:30:00,128.18683128,18.74,114.03
2022-01-07 20:00:00,128.25890202,18.79,114.34
2022-01-07 20:30:00,128.20484897,18.71,113.2
2022-01-10 14:30:00,127.52918572,22.16,124.88
2022-01-10 15:00:00,127.72738027,22.83,125.71
2022-01-10 15:30:00,127.74990238,22.52,126.53
2022-01-10 16:00:00,127.77242449,22.3,123.12
2022-01-10 16:30:00,127.8174687,22.37,123.27
2022-01-10 17:00:00,128.07422074,22.45,124.16
2022-01-10 17:30:00,128.17782244,21.96,123.42
2022-01-10 18:00:00,128.25890202,21.67,120.99
2022-01-10 18:30:00,128.27691971,20.6,119.09
2022-01-10 19:00:00,128.26791087,20.54,116.77
2022-01-10 19:30:00,128.34899046,20.88,116.9
2022-01-10 20:00:00,128.43007005,20.29,116.43
2022-01-10 20:30:00,128.52015848,19.33,112.48
2022-01-11 14:30:00,128.97060065,20.11,117.7
2022-01-11 15:00:00,128.92555643,20.26,115.97
2022-01-11 15:30:00,128.77240609,19.8,116.16
2022-01-11 16:00:00,129.07870676,18.98,112.68
2022-01-11 16:30:00,128.88051221,18.92,111.76
2022-01-11 17:00:00,128.84447684,18.91,112.13
2022-01-11 17:30:00,128.97960949,18.8,110.86
2022-01-11 18:00:00,129.05168024,18.42,111.19
2022-01-11 18:30:00,129.04267139,18.71,112.92
2022-01-11 19:00:00,129.13275982,18.43,112.99
2022-01-11 19:30:00,129.24987479,18.39,112.81
2022-01-11 20:00:00,129.06969792,18.54,112.0
2022-01-11 20:30:00,129.30392785,18.37,111.49
2022-01-12 14:30:00,129.08771561,17.38,113.29
2022-01-12 15:00:00,129.06969792,18.09,113.87
2022-01-12 15:30:00,129.1687952,18.3,115.55
2022-01-12 16:00:00,129.17780404,18.03,116.05
2022-01-12 16:30:00,129.37599859,18.17,116.02
2022-01-12 17:00:00,129.46608703,18.03,116.39
2022-01-12 17:30:00,129.46608703,17.93,115.74
2022-01-12 18:00:00,129.18681288,18.18,117.59
2022-01-12 18:30:00,129.26789247,18.26,116.83
2022-01-12 19:00:00,129.12375098,17.98,115.87
2022-01-12 19:30:00,129.22284826,18.19,116.21
2022-01-12 20:00:00,129.00663602,17.94,116.06
2022-01-12 20:30:00,128.85348568,17.64,114.87
2022-01-13 14:30:00,128.95258296,17.79,112.97
