Dates,TLT,VIX,VVIX
2012-03-14 14:30:00,79.16593624,15.18,103.34
2012-03-14 18:30:00,79.07694175,15.72,106.63
2012-03-15 14:30:00,79.28340896,15.35,108.87
2012-03-15 18:30:00,79.16237646,15.06,108.42
2012-03-16 14:30:00,79.13389823,14.88,105.24
2012-03-16 18:30:00,79.33324588,14.7,105.78
2012-03-19 14:30:00,78.60705086,14.94,108.76
2012-03-19 18:30:00,78.40770321,14.84,106.49
2012-03-20 14:30:00,78.50025748,15.27,109.33
2012-03-20 18:30:00,78.69960513,15.44,109.38
2012-03-21 14:30:00,79.45427838,15.22,106.56
2012-03-21 18:30:00,79.58243044,14.96,104.65
2012-03-22 14:30:00,79.78889765,16.43,103.87
2012-03-22 18:30:00,79.83873457,16.34,102.53
2012-03-23 14:30:00,80.51509267,15.67,98.42
2012-03-23 18:30:00,80.60052738,14.88,98.6
2012-03-26 14:30:00,80.17335384,14.89,99.73
2012-03-26 18:30:00,80.20895163,14.57,96.08
2012-03-27 14:30:00,80.63612517,15.06,99.44
2012-03-27 18:30:00,80.75715768,15.03,101.15
2012-03-28 14:30:00,80.8568315,16.24,105.57
2012-03-28 18:30:00,80.65036429,16.41,102.74
2012-03-29 14:30:00,81.21280945,16.87,105.68
2012-03-29 18:30:00,81.25552681,16.17,101.94
2012-03-30 14:30:00,80.90666842,15.7,100.05
2012-03-30 18:30:00,79.88857148,15.56,100.28
2012-04-02 14:30:00,80.39538851,15.42,100.06
2012-04-02 18:30:00,80.33114643,15.36,100.38
2012-04-03 14:30:00,80.63808079,15.6,99.49
2012-04-03 18:30:00,78.95351081,16.08,98.37
2012-04-04 14:30:00,79.89572792,17.48,101.29
2012-04-04 18:30:00,80.00993605,16.64,99.73
2012-04-05 14:30:00,80.40252651,16.35,98.28
2012-04-05 18:30:00,80.59525274,16.89,99.47
2012-04-09 14:30:00,82.54392903,18.54,104.18
2012-04-09 18:30:00,82.47254895,17.97,104.59
2012-04-10 14:30:00,83.57180224,19.29,111.09
2012-04-10 18:30:00,83.42190406,21.02,109.13
2012-04-11 14:30:00,82.55106704,19.13,109.67
2012-04-11 18:30:00,82.4297209,19.85,111.19
2012-04-12 14:30:00,82.40116886,18.42,107.02
2012-04-12 18:30:00,82.07995849,18.17,104.27
2012-04-13 14:30:00,83.22203983,18.8,109.72
2012-04-13 18:30:00,83.40762805,18.94,110.76
2012-04-16 14:30:00,83.85732258,19.66,112.31
2012-04-16 18:30:00,83.2862819,19.59,110.97
2012-04-17 14:30:00,83.0293136,17.75,106.5
2012-04-17 18:30:00,83.22917784,18.28,107.01
2012-04-18 14:30:00,83.50756016,18.76,106.5
2012-04-18 18:30:00,83.45759411,18.31,106.06
2012-04-19 14:30:00,83.66459635,17.8,105.54
2012-04-19 18:30:00,83.55752622,19.0,103.96
2012-04-20 14:30:00,83.43618008,17.31,101.46
2012-04-20 18:30:00,83.56466423,17.66,101.08
2012-04-23 14:30:00,84.17853295,19.82,105.24
2012-04-23 18:30:00,84.17139494,19.07,104.01
2012-04-24 14:30:00,83.82163253,18.5,100.8
2012-04-24 18:30:00,83.60035427,18.56,99.84
2012-04-25 14:30:00,83.01503759,17.35,95.75
2012-04-25 18:30:00,83.16493576,16.9,93.28
2012-04-26 14:30:00,83.45759411,16.94,90.28
2012-04-26 18:30:00,83.65032033,16.16,89.65
2012-04-27 14:30:00,83.60749228,16.28,88.25
2012-04-27 18:30:00,83.72883842,16.1,88.62
2012-04-30 14:30:00,83.8787366,17.33,90.2
2012-04-30 18:30:00,83.75025245,17.32,89.32
2012-05-01 14:30:00,83.23043746,16.44,86.46
2012-05-01 18:30:00,83.30914575,16.3,87.06
2012-05-02 14:30:00,83.70268719,17.31,87.64
2012-05-02 18:30:00,83.90303556,16.97,86.29
2012-05-03 14:30:00,83.78855078,16.85,86.65
2012-05-03 18:30:00,83.88872496,17.82,88.35
2012-05-04 14:30:00,84.48261477,18.66,91.31
2012-05-04 18:30:00,84.52554657,18.97,91.31
2012-05-07 14:30:00,84.55416776,19.34,90.46
2012-05-07 18:30:00,84.55416776,18.64,90.91
2012-05-08 14:30:00,85.13374698,20.76,94.81
2012-05-08 18:30:00,84.990641,19.49,91.33
2012-05-09 14:30:00,84.82606912,20.48,100.3
2012-05-09 18:30:00,85.05503869,20.25,102.07
2012-05-10 14:30:00,84.68296315,19.8,99.83
2012-05-10 18:30:00,84.79744793,18.94,98.65
2012-05-11 14:30:00,85.51297782,18.87,98.35
2012-05-11 18:30:00,85.49151193,19.45,100.12
2012-05-14 14:30:00,86.53618557,21.41,105.08
2012-05-14 18:30:00,86.69360215,21.65,105.85
2012-05-15 14:30:00,86.56480677,21.5,106.09
2012-05-15 18:30:00,87.0585224,22.2,109.61
2012-05-16 14:30:00,86.79377634,21.73,108.46
2012-05-16 18:30:00,87.30180256,22.2,109.22
2012-05-17 14:30:00,88.53251398,22.38,110.49
2012-05-17 18:30:00,88.84734714,23.46,112.84
2012-05-18 14:30:00,88.67561996,23.37,113.23
2012-05-18 18:30:00,88.86881303,24.69,117.44
2012-05-21 14:30:00,88.83303654,22.52,109.89
2012-05-21 18:30:00,88.68993056,22.18,108.5
2012-05-22 14:30:00,87.44490854,20.38,106.21
2012-05-22 18:30:00,87.69534401,21.44,110.48
2012-05-23 14:30:00,88.90458953,24.04,112.14
2012-05-23 18:30:00,88.28923382,22.98,107.48
2012-05-24 14:30:00,87.98871126,22.37,107.85
2012-05-24 18:30:00,87.98155596,22.94,104.52
2012-05-25 14:30:00,88.11750664,21.61,102.04
2012-05-25 18:30:00,88.28207852,21.87,103.1
2012-05-29 14:30:00,88.51820339,21.54,103.52
2012-05-29 18:30:00,88.01017716,21.72,100.98
2012-05-30 14:30:00,90.26409633,23.38,107.09
