Dates,TLT,VIX,VVIX
2006-03-06,49.0528506,12.74,71.73
2006-03-15,48.92544613,11.35,15.71
2006-03-16,49.36860582,11.98,27.94
2006-03-17,49.21904309,12.12,28.6
2006-03-20,49.29659701,11.79,37.93
2006-03-21,49.04177146,11.62,37.35
2006-04-11,47.57635396,13.0,69.55
2006-04-24,47.34280945,11.75,63.42
2006-04-25,46.78119049,11.75,61.33
2006-05-01,46.44603316,12.54,61.96
2006-05-22,47.23315945,17.71999,91.76
2006-05-23,47.20524717,18.25999,88.66
2006-05-24,47.22758257,17.35999,88.63
2006-05-25,47.04335594,15.5,82.64
2006-05-26,47.00986679,14.26,72.5
2006-05-30,46.98753139,18.65999,82.14
2006-05-31,46.70840859,16.43999,77.44
2006-06-01,46.91703654,14.52,74.08
2006-06-02,47.52233405,14.32,70.27
2006-06-05,47.46068224,16.64999,77.38
2006-06-06,47.68487626,17.34,78.66
2006-06-07,47.69609128,17.79999,73.86
2006-06-08,47.79136576,18.34999,78.12
2006-06-09,48.04357772,18.12,79.87
2006-06-12,48.08280509,20.95999,83.52
2006-06-13,48.11644457,23.81,93.2
2006-06-14,47.63443947,21.45999,102.11
2006-06-15,47.35980305,15.9,99.13
2006-06-16,47.25331356,17.25,106.93
2006-06-19,47.18605703,17.82999,102.56
2006-06-20,47.10759108,16.68999,94.76
2006-06-21,47.11880611,15.52,92.4
2006-06-22,46.84977441,15.88,91.85
2006-06-23,46.75449433,15.89,86.81
2006-06-26,46.66481336,15.62,90.71
2006-06-27,46.89461209,16.39999,95.12
2006-06-28,46.64800483,15.79,96.44
2006-06-29,46.80493112,13.03,96.63
2006-06-30,47.25892387,13.08,92.1
2006-07-03,47.21390431,13.05,89.13
2006-07-05,46.83691892,14.15,91.98
2006-07-06,47.1238766,13.65,92.88
2006-07-07,47.42771448,13.97,91.46
2006-07-10,47.47273396,14.02,93.52
2006-07-11,47.62465571,13.14,91.99
2006-07-24,47.98476653,14.98,99.61
2006-07-25,47.84409824,14.85,94.97
2006-07-26,48.01852692,14.62,89.23
2006-07-27,47.94538503,14.94,95.29
2006-07-28,48.22108925,14.33,93.16
2006-07-31,48.27735657,14.95,92.79
2006-08-01,48.27852386,15.05,92.67
2006-08-02,48.45929432,14.34,91.34
2006-08-03,48.47059283,14.46,89.24
2006-08-04,48.76435964,14.34,90.68
2006-08-07,48.79260026,15.23,89.58
2006-08-08,48.6852588,15.23,88.09
2006-08-16,48.89428682,12.41,57.01
2006-08-21,49.19369724,12.22,80.68
2006-08-22,49.210645,12.19,78.75
2006-08-23,49.23323636,12.4,81.15
2006-08-24,49.32363007,12.4,79.7
2006-08-25,49.39707036,12.31,81.94
2006-08-28,49.44226438,12.18,79.47
2006-08-29,49.51005542,12.28,81.8
2006-08-30,49.63998825,12.22,80.77
2006-08-31,49.75862257,12.31,79.84
2006-09-01,49.77571971,11.96,77.19
2006-09-05,49.49212966,12.63,80.18
2006-09-06,49.39571471,13.74,82.96
2006-09-07,49.49212966,13.88,86.18
2006-09-08,49.53183794,13.16,83.7
2006-09-11,49.48646353,12.99,85.78
2006-09-12,49.73602277,11.92,80.99
2006-09-13,49.75870998,11.18,81.55
2006-09-14,49.64527396,11.55,81.93
2006-09-15,49.60557702,11.76,59.52
2006-09-18,49.57153487,11.78,80.97
2006-09-19,50.08200263,11.98,81.77
2006-09-20,50.15573037,11.39,80.83
2006-09-21,50.61515759,12.25,85.95
2006-09-22,50.82500856,12.59,85.74
2006-09-25,51.22203463,12.12,82.01
2006-09-26,51.00650052,11.53,81.59
2006-09-27,50.83635216,11.58,81.08
2006-09-28,50.77396235,11.72,84.74
2006-09-29,50.70022894,11.98,84.31
2006-10-02,50.85037835,12.57,85.46
2006-10-03,50.78204068,12.24,86.57
2006-10-04,51.15217791,11.86,82.5
2006-10-05,50.79343504,11.98,87.5
2006-10-06,50.26386223,11.56,85.63
2006-10-09,50.40052049,11.68,84.76
2006-10-10,50.00192299,11.52,83.62
2006-10-11,49.87095337,11.62,88.4
2006-10-12,49.88234773,11.09,86.87
2006-10-13,49.63179146,10.75,86.61
2006-10-16,49.85387038,11.09,82.29
2006-10-17,49.8937307,11.73,66.99
2006-10-18,49.99622866,11.34,79.1
2006-10-19,49.90511936,10.9,77.71
2006-10-20,49.85387038,10.63,78.6
2006-10-23,49.65456878,11.08,84.73
2006-10-24,49.65456878,10.78,87.39
2006-10-25,50.04747764,10.66,85.9
2006-10-26,50.37206022,10.56,81.6
2006-10-27,50.60552211,10.8,82.71
2006-10-30,50.74788039,11.2,80.16
2006-10-31,51.14078925,11.1,76.4
2006-11-01,51.42400825,11.51,78.89
