Dates,TLT,VIX,VVIX
2019-01-02 14:30:00,103.92304941,26.34,87.02
2019-01-02 15:30:00,103.89742525,25.65,85.77
2019-01-02 16:30:00,104.02554605,25.35,85.66
2019-01-02 17:30:00,103.94013218,24.16,84.36
2019-01-02 18:30:00,104.05117021,24.28,83.92
2019-01-02 19:30:00,104.26470487,24.24,83.67
2019-01-02 20:30:00,104.33303596,23.16,81.66
2019-01-03 14:30:00,104.96509856,25.25,84.97
2019-01-03 15:30:00,105.33237818,25.84,84.58
2019-01-03 16:30:00,105.50320591,24.96,83.52
2019-01-03 17:30:00,105.58007839,24.89,83.52
2019-01-03 18:30:00,105.40925066,24.64,82.63
2019-01-03 19:30:00,105.43487482,25.28,83.67
2019-01-03 20:30:00,105.52883007,25.26,83.8
2019-01-04 14:30:00,104.15366684,22.86,81.02
2019-01-04 15:30:00,104.16220823,22.45,80.89
2019-01-04 16:30:00,104.27324625,22.32,81.05
2019-01-04 17:30:00,104.11095991,22.32,81.86
2019-01-04 18:30:00,104.35866012,22.58,82.11
2019-01-04 19:30:00,104.26470487,22.01,82.79
2019-01-04 20:30:00,104.33303596,21.39,84.44
2019-01-07 14:30:00,104.46969814,21.83,84.37
2019-01-07 15:30:00,104.31595319,21.42,83.64
2019-01-07 16:30:00,104.16220823,21.2,83.24
2019-01-07 17:30:00,104.13658407,21.07,82.93
2019-01-07 18:30:00,104.17074962,21.39,83.05
2019-01-07 19:30:00,103.88888386,21.22,82.68
2019-01-07 20:30:00,104.00846327,21.27,82.74
2019-01-08 14:30:00,103.9913805,20.92,84.09
2019-01-08 15:30:00,104.01700466,21.36,84.66
2019-01-08 16:30:00,104.00846327,21.01,83.7
2019-01-08 17:30:00,103.95721495,20.51,83.23
2019-01-08 18:30:00,103.97429773,20.51,83.13
2019-01-08 19:30:00,103.70097336,20.5,82.47
2019-01-08 20:30:00,103.74368029,20.42,82.41
2019-01-09 14:30:00,103.5472284,20.05,84.93
2019-01-09 15:30:00,103.32515235,20.2,85.54
2019-01-09 16:30:00,103.27390404,20.11,86.02
2019-01-09 17:30:00,103.44473176,19.97,85.77
2019-01-09 18:30:00,103.58139395,19.79,86.22
2019-01-09 19:30:00,103.26536265,19.57,86.1
2019-01-09 20:30:00,103.53014563,19.86,86.62
2019-01-10 14:30:00,103.42764899,20.91,88.37
2019-01-10 15:30:00,103.36785929,20.12,88.41
2019-01-10 16:30:00,103.53868702,20.29,87.34
2019-01-10 17:30:00,103.13724185,20.34,87.7
2019-01-10 18:30:00,103.01766244,19.87,87.56
2019-01-10 19:30:00,102.87245887,19.81,87.38
2019-01-10 20:30:00,102.88100026,19.48,86.35
2019-01-11 14:30:00,103.5472284,19.5,87.6
2019-01-11 15:30:00,103.38494206,19.42,86.31
2019-01-11 16:30:00,103.38494206,19.11,85.43
2019-01-11 17:30:00,103.41910761,18.71,85.95
2019-01-11 18:30:00,103.29952819,18.55,85.13
2019-01-11 19:30:00,103.17994878,18.52,84.4
2019-01-11 20:30:00,103.27390404,18.16,83.85
2019-01-14 14:30:00,103.09453492,19.33,84.49
2019-01-14 15:30:00,102.97495551,19.37,82.86
2019-01-14 16:30:00,102.88954164,19.34,81.98
2019-01-14 17:30:00,102.96641412,19.21,81.89
2019-01-14 18:30:00,102.92370719,18.9,82.32
2019-01-14 19:30:00,102.76996223,18.77,82.9
2019-01-14 20:30:00,102.88954164,19.05,83.01
